Building,ASHRAE IECC Climate Zone 2004,Bathroom Spot Vent Hour,County and PUMA,AIANNH Area,CEC Climate Zone,City,County,AHS Region,ASHRAE IECC Climate Zone 2004 - Sub-CZ Split,Building America Climate Zone,Dehumidifier,Door Area,Doors,Eaves,Electric Vehicle Battery,Electric Vehicle Miles Traveled,Energystar Climate Zone 2023,Generation And Emissions Assessment Region,Ground Thermal Conductivity,HVAC System Is Faulted,HVAC System Is Scaled,Holiday Lighting,Hot Water Distribution,ISO RTO Region,Interior Shading,Lighting Interior Use,Lighting Other Use,Mechanical Ventilation,Metropolitan and Micropolitan Statistical Area,County Metro Status,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Natural Ventilation,Orientation,PUMA,Geometry Building Type ACS,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Building Type RECS,Cooling Setpoint Has Offset,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Corridor,Neighbors,PUMA Metro Status,REEDS Balancing Area,Radiant Barrier,Range Spot Vent Hour,Sampling Region,State,Census Division,Census Division RECS,Census Region,Custom State,Lighting,Location Region,Plug Loads,Usage Level,Clothes Dryer Usage Level,Clothes Washer Usage Level,Cooking Range Usage Level,Dishwasher Usage Level,Hot Water Fixtures,Plug Load Diversity,Refrigerator Usage Level,Vacancy Status,Ceiling Fan,Has PV,Battery,PV Orientation,PV System Size,Tenure,Vintage,Heating Fuel,HVAC Heating Type,HVAC Secondary Heating Fuel,HVAC Secondary Heating Type,HVAC Secondary Heating Efficiency,HVAC Secondary Heating Partial Space Conditioning,Vintage ACS,Geometry Foundation Type,HVAC Cooling Type,Cooling Setpoint,HVAC Has Shared System,HVAC Cooling Efficiency,HVAC Cooling Autosizing Factor,HVAC Has Ducts,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Autosizing Factor,HVAC Heating Type And Fuel,HVAC Shared Efficiencies,HVAC System Single Speed AC Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed ASHP Charge,Heating Setpoint,Heating Setpoint Has Offset,Heating Setpoint Offset Magnitude,Heating Setpoint Offset Period,Income,Income RECS2015,Income RECS2020,Geometry Floor Area,Bedrooms,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Building Type Height,Geometry Stories Low Rise,Geometry Attic Type,Geometry Garage,Geometry Space Combination,Duct Location,Duct Leakage and Insulation,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,HVAC Cooling Partial Space Conditioning,Infiltration,Insulation Ceiling,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Insulation Roof,Insulation Slab,Insulation Wall,Misc Well Pump,Occupants,Area Median Income,Federal Poverty Level,Clothes Washer Presence,Clothes Dryer,Clothes Washer,Cooking Range,Cooling Unavailable Days,Dishwasher,Electric Vehicle Charge At Home,Electric Vehicle Ownership,Electric Vehicle Charger,Electric Vehicle Outlet Access,Heating Unavailable Days,Household Has Tribal Persons,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Refrigerator,Roof Material,State Metro Median Income,Water Heater Fuel,Water Heater Efficiency,Water Heater In Unit,Water Heater Location,Window Areas,Windows
193,4A,Hour1,"G1100010, G11000105",No,None,"DC, Washington","DC, District of Columbia","CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV",4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"Pickup, Battery Electric Vehicle, 300 mile range",5000,North-Central,PJM East,1.1,No,No,No Exterior Use,Uninsulated,PJM,Light Curtains,100% Usage,100% Usage,None,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",Northeast,"DC, 00105",50 or more Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,12,"In metro area, principal city",123,None,Hour18,9,DC,South Atlantic,South Atlantic,South,Others,100% LED,CR08,106%,High,120% Usage,120% Usage,120% Usage,120% Usage,120% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Renter,2000s,Electricity,Ducted Heating,None,None,None,0%,2000-09,Slab,Central AC,72F,None,"AC, SEER2 14.3",None,Yes,"Electric Furnace, 100% AFUE",No,None,Electricity Electric Furnace,None,None,None,None,None,70F,No,0F,None,200000+,140000+,150000+,1000-1499,3,0-1499,4,Top,67,Right,"Multi-Family with 5+ Units, 4-7 Stories",4+,None,None,"Multi-Family with 5+ Units Top Unit, Slab, No Attic, No Garage",Living Space,"0% Leakage to Outside, Uninsulated",<8,Concrete,"Brick, Medium/Dark",100% Conditioned,15 ACH50,None,None,None,None,"Finished, R-30","2ft R5 Perimeter, Vertical","CMU, 6-in, R-11",None,3,150%+,400%+,Yes,Electric,Standard,Electric Resistance,Never,Standard,100%,No,None,No,Never,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",150%+,Electricity,Electric Standard,No,Conditioned Mechanical Room,F18 B18 L18 R18,"Double, Clear, Metal, Air"
194,4A,Hour18,"G5108100, G51051165",No,None,"VA, Virginia Beach","VA, Virginia Beach city",Non-CBSA South Atlantic,4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",22500,North-Central,PJM East,1.4,No,No,No Exterior Use,Uninsulated,PJM,Light Curtains,100% Usage,100% Usage,None,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",Northeast,"VA, 51165",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, principal city",99,No,Hour18,9,VA,South Atlantic,South Atlantic,South,Others,100% CFL,CR08,106%,High,120% Usage,120% Usage,120% Usage,120% Usage,120% Usage,200%,105% Usage,Occupied,None,No,None,None,None,Owner,1980s,Electricity,Ducted Heat Pump,None,None,None,0%,1980-99,Heated Basement,Ducted Heat Pump,72F,None,Ducted Heat Pump,None,Yes,"ASHP, SEER2 12.4, 6.6 HSPF2",No,None,Electricity ASHP,None,None,None,None,None,72F,Yes,3F,Night -3h,80000-99999,80000-99999,60000-99999,1500-1999,3,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Heated Basement, Vented Attic, No Garage",Heated Basement,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Vinyl, Light",100% Conditioned,15 ACH50,R-30,Uninsulated,"Wall R-10, Exterior","R-10, Exterior","Unfinished, Uninsulated",None,"Wood Stud, R-11",None,2,120-150%,400%+,Yes,Electric,Standard,Electric Resistance,Never,Standard,80-99%,No,None,No,Never,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,120-150%,Electricity,Electric Premium,Yes,Heated Basement,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain"
195,4A,Hour22,"G2101170, G21002400",No,None,In another census Place,"KY, Kenton County",Non-CBSA East South Central,4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",1000,North-Central,PJM East,2,No,No,No Exterior Use,Uninsulated,PJM,Light Curtains,100% Usage,100% Usage,None,"Cincinnati, OH-KY-IN MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",North,"KY, 02400",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",109,No,Hour9,17,KY,East South Central,East South Central,South,Others,100% Incandescent,CR08,110%,Low,80% Usage,80% Usage,80% Usage,80% Usage,70% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,None,None,None,0%,<1940,Heated Basement,Central AC,72F,None,"AC, SEER2 9.5",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,65F,No,0F,None,80000-99999,80000-99999,60000-99999,1500-1999,3,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Heated Basement, Vented Attic, No Garage",Heated Basement,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Vinyl, Light",100% Conditioned,20 ACH50,R-13,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",None,2,120-150%,400%+,Yes,Electric,Standard,Gas,Never,Standard,100%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,120-150%,Natural Gas,Natural Gas Standard,Yes,Heated Basement,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain"
196,3B,Hour6,"G0601130, G06011300",No,12,"CA, Davis","CA, Yolo County",Non-CBSA Pacific,3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 200 mile range",1000,South-Central,CAISO,1.4,No,No,No Exterior Use,Uninsulated,CAISO,Light Curtains,100% Usage,100% Usage,None,"Sacramento--Roseville--Arden-Arcade, CA MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",Northwest,"CA, 11300",Single-Family Detached,None,None,Single-Family Detached,Yes,5F,Night Setback -3h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",9,No,Hour12,107,CA,Pacific,Pacific,West,Others,100% CFL,CR11,94%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,90% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,None,None,None,0%,2000-09,Slab,Central AC,72F,None,"AC, SEER2 9.5",None,Yes,"Fuel Furnace, 92.5% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,68F,No,0F,None,200000+,140000+,150000+,2000-2499,3,1500-2499,1,None,None,None,Single-Family Detached,1,None,2 Car,"Single-Family Detached, Slab, No Attic, 2 Car Garage",Garage,"20% Leakage to Outside, R-8",<8,Wood Frame,"Stucco, Light",100% Conditioned,5 ACH50,None,None,None,None,"Finished, R-19",Uninsulated,"Wood Stud, R-19",None,5,150%+,400%+,Yes,Electric,Standard,Gas,Never,Standard,80-99%,No,None,Yes,Never,No,None,"EF 12, National Average",None,Has Pool,Natural Gas,1.0 HP Pump,EF 17.6,"Tile, Clay or Ceramic",150%+,Natural Gas,Natural Gas Standard,Yes,Garage,F12 B12 L12 R12,"Double, Clear, Non-metal, Air"
197,3B,Hour5,"G0600730, G06007310",No,7,"CA, San Diego","CA, San Diego County",Non-CBSA Pacific,3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",13000,South-Central,CAISO,1.4,No,No,No Exterior Use,Uninsulated,CAISO,Light Curtains,100% Usage,100% Usage,None,"San Diego-Carlsbad, CA MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",Northwest,"CA, 07310",Single-Family Detached,None,None,Single-Family Detached,Yes,5F,Night Setback -2h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",11,No,Hour11,103,CA,Pacific,Pacific,West,Others,100% LED,CR11,94%,High,120% Usage,120% Usage,120% Usage,120% Usage,120% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1950s,Natural Gas,Non-Ducted Heating,None,None,None,0%,1940-59,Slab,Room AC,78F,None,"Room AC, CEER 10.6",None,No,"Fuel Wall/Floor Furnace, 68% AFUE",No,None,Natural Gas Fuel Wall/Floor Furnace,None,None,None,None,None,68F,Yes,12F,Night -5h,200000+,140000+,150000+,1000-1499,3,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Slab, Vented Attic, No Garage",None,None,<8,Wood Frame,"Stucco, Light",100% Conditioned,15 ACH50,R-13,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, Uninsulated",None,1,150%+,400%+,Yes,Gas,Standard,Electric Resistance,Never,Standard,100%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 15.9,Wood Shingles,150%+,Natural Gas,Natural Gas Premium,Yes,Outside,F12 B12 L12 R12,"Single, Clear, Non-metal"
198,3B,Hour6,"G3200030, G32000409",No,None,"NV, Paradise","NV, Clark County",Non-CBSA Mountain,3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",13000,South-Central,Northern Grid South,1.4,No,No,No Exterior Use,Uninsulated,None,Light Curtains,100% Usage,100% Usage,None,"Las Vegas-Henderson-Paradise, NV MSA",Metropolitan,None,Gas Grill,None,"Cooling Season, 7 days/wk",Southeast,"NV, 00409",50 or more Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,12,"In metro area, not/partially in principal city",13,None,Hour16,49,NV,Mountain,Mountain South,West,Others,100% LED,CR10,106%,Low,80% Usage,80% Usage,80% Usage,80% Usage,60% Usage,50%,95% Usage,Occupied,None,No,None,None,None,Renter,2000s,Electricity,Non-Ducted Heating,None,None,None,0%,2000-09,Slab,Central AC,75F,None,"AC, SEER2 14.3",None,Yes,"Electric Baseboard, 100% Efficiency",Yes,None,Electricity Baseboard,None,None,None,None,None,70F,Yes,3F,Night +5h,25000-29999,20000-39999,20000-39999,1000-1499,2,0-1499,5,Middle,67,Middle,"Multi-Family with 5+ Units, 4-7 Stories",4+,None,None,"Multi-Family with 5+ Units Middle Unit, Slab, No Attic, No Garage",Living Space,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Stucco, Light",100% Conditioned,15 ACH50,None,None,None,None,"Finished, R-13",Uninsulated,"Wood Stud, R-19",None,2,30-60%,150-200%,Yes,Electric,Standard,Electric Resistance,Never,Standard,0-19%,No,None,No,Never,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",30-60%,Electricity,Electric Standard,Yes,Living Space,F30 B30 L30 R30,"Double, Clear, Metal, Air"
199,5B,Hour5,"G4100170, G41000400",No,None,"OR, Bend","OR, Deschutes County",Non-CBSA Pacific,5B,Cold,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 200 mile range",19000,Northern,Northern Grid West,1.4,No,No,No Exterior Use,Uninsulated,None,Light Curtains,100% Usage,100% Usage,None,"Bend-Redmond, OR MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",West,"OR, 00400",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",5,No,Hour5,16,OR,Pacific,Pacific,West,Others,100% Incandescent,CR06,94%,High,120% Usage,120% Usage,120% Usage,120% Usage,120% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,None,None,None,0%,2000-09,Unheated Basement,Central AC,70F,None,"AC, SEER2 14.3",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,72F,Yes,6F,Night +3h,200000+,140000+,150000+,3000-3999,4,2500-3999,2,None,None,None,Single-Family Detached,2,Vented Attic,3 Car,"Single-Family Detached, Unheated Basement, Vented Attic, 3 Car Garage",Unheated Basement,"20% Leakage to Outside, R-6",<8,Wood Frame,"Shingle, Composition, Medium",100% Conditioned,5 ACH50,R-38,Ceiling R-19,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-19",Typical Efficiency,4,150%+,400%+,Yes,Electric,Standard,Electric Resistance,Never,Standard,80-99%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,"Tile, Clay or Ceramic",150%+,Natural Gas,Natural Gas Standard,Yes,Unheated Basement,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain"
200,2A,Hour2,"G1200710, G12007102",No,None,"FL, Cape Coral","FL, Lee County",Non-CBSA South Atlantic,"2A - FL, GA, AL, MS",Hot-Humid,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 200 mile range",7000,Southern,FRCC,1.1,No,No,No Exterior Use,Uninsulated,None,Light Curtains,100% Usage,100% Usage,None,"Cape Coral-Fort Myers, FL MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",North,"FL, 07102",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +2h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",101,No,Hour12,5,FL,South Atlantic,South Atlantic,South,Others,100% LED,CR09,106%,High,120% Usage,120% Usage,120% Usage,120% Usage,130% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Electricity,Ducted Heating,None,None,None,0%,2000-09,Vented Crawlspace,Central AC,70F,None,"AC, SEER2 12.4",None,Yes,"Electric Furnace, 100% AFUE",No,None,Electricity Electric Furnace,None,None,None,None,None,78F,Yes,3F,Night +4h,80000-99999,80000-99999,60000-99999,1000-1499,3,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Vented Crawlspace, Vented Attic, No Garage",Crawlspace,"20% Leakage to Outside, R-6",<8,Wood Frame,"Vinyl, Light",100% Conditioned,15 ACH50,R-30,Ceiling R-13,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-15",None,2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,Never,EnergyStar,60-79%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,150%+,Electricity,Electric Standard,Yes,Living Space,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain"
201,6A,Hour2,"G5500250, G55000103",No,None,In another census Place,"WI, Dane County",Non-CBSA East North Central,6A,Cold,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",1000,Northern,MISO North,1.1,No,No,No Exterior Use,Uninsulated,MISO,Light Curtains,100% Usage,100% Usage,None,"Madison, WI MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",East,"WI, 00103",Single-Family Detached,None,None,Single-Family Detached,Yes,5F,Night Setback +3h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",78,No,Hour7,26,WI,East North Central,East North Central,Midwest,Others,100% LED,CR02,85%,Low,80% Usage,80% Usage,80% Usage,80% Usage,80% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,None,None,None,0%,2000-09,Heated Basement,Central AC,75F,None,"AC, SEER2 12.4",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,65F,Yes,3F,Night -5h,200000+,140000+,150000+,3000-3999,4,2500-3999,1,None,None,None,Single-Family Detached,1,Vented Attic,2 Car,"Single-Family Detached, Heated Basement, Vented Attic, 2 Car Garage",Heated Basement,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Brick, Medium/Dark",80% Conditioned,5 ACH50,R-49,Uninsulated,"Wall R-10, Exterior","R-10, Exterior","Unfinished, Uninsulated",None,"Wood Stud, R-19",None,2,150%+,400%+,Yes,Gas,Standard,Gas,Never,Standard,100%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,150%+,Electricity,Electric Standard,Yes,Heated Basement,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain"
202,3A,Hour1,"G4500450, G45000103",No,None,In another census Place,"SC, Greenville County",Non-CBSA South Atlantic,3A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 200 mile range",5000,South-Central,SERTP,1.1,No,No,No Exterior Use,Uninsulated,None,Light Curtains,100% Usage,100% Usage,None,"Greenville-Anderson-Mauldin, SC MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",Northeast,"SC, 00103",Single-Family Detached,None,None,Single-Family Detached,Yes,9F,Night Setback,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",95,No,Hour17,37,SC,South Atlantic,South Atlantic,South,Others,100% LED,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,90% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1960s,Electricity,Ducted Heat Pump,None,None,None,0%,1960-79,Vented Crawlspace,Ducted Heat Pump,70F,None,Ducted Heat Pump,None,Yes,"ASHP, SEER2 14.3, 7.4 HSPF2",No,None,Electricity ASHP,None,None,None,None,None,70F,No,0F,None,80000-99999,80000-99999,60000-99999,1000-1499,3,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Vented Crawlspace, Vented Attic, No Garage",Crawlspace,"20% Leakage to Outside, Uninsulated",<8,Wood Frame,"Brick, Medium/Dark",100% Conditioned,15 ACH50,R-13,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",None,4,120-150%,300-400%,Yes,Electric,Standard,Electric Resistance,Never,Standard,80-99%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",150%+,Electricity,Electric Standard,Yes,Living Space,F15 B15 L15 R15,"Single, Clear, Metal"
203,4A,Hour4,"G3600610, G36003808",No,None,"NY, New York","NY, New York County","CBSA New York-Newark-Jersey City, NY-NJ-PA",4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 200 mile range",15000,North-Central,NYISO,1.7,No,No,No Exterior Use,Uninsulated,NYISO,Light Curtains,100% Usage,100% Usage,None,"New York-Newark-Jersey City, NY-NJ-PA MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",North,"NY, 03808",50 or more Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,4,"In metro area, principal city",127,None,Hour10,48,NY,Middle Atlantic,Middle Atlantic,Northeast,Others,100% Incandescent,CR07,89%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,90% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Renter,1960s,Natural Gas,Non-Ducted Heating,None,None,None,0%,1960-79,Slab,None,70F,None,None,None,No,"Fuel Wall/Floor Furnace, 68% AFUE",No,None,Natural Gas Fuel Wall/Floor Furnace,None,None,None,None,None,75F,No,0F,None,200000+,140000+,150000+,500-749,1,0-1499,5,Middle,67,Middle,"Multi-Family with 5+ Units, 4-7 Stories",4+,None,None,"Multi-Family with 5+ Units Middle Unit, Slab, No Attic, No Garage",None,None,<8,Brick,None,None,20 ACH50,None,None,None,None,"Finished, R-30",Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",None,2,150%+,400%+,None,None,None,Gas,Never,Standard,0-19%,No,None,No,Never,No,None,None,None,None,None,None,EF 15.9,"Asphalt Shingles, Medium",150%+,Electricity,Electric Standard,No,Conditioned Mechanical Room,F30 B30 L30 R30,"Double, Clear, Metal, Air"
204,5A,Hour3,"G2601450, G26001500",No,None,Not in a census Place,"MI, Saginaw County",Non-CBSA East North Central,5A,Cold,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",1000,Northern,MISO Central,1.4,No,No,No Exterior Use,Uninsulated,MISO,Light Curtains,100% Usage,100% Usage,None,"Saginaw, MI MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",Southwest,"MI, 01500",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",103,No,Hour18,19,MI,East North Central,East North Central,Midwest,Others,100% CFL,CR04,85%,High,120% Usage,120% Usage,120% Usage,120% Usage,120% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,None,None,None,0%,<1940,Unheated Basement,Central AC,72F,None,"AC, SEER2 12.4",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,72F,Yes,12F,Night -2h,80000-99999,80000-99999,60000-99999,750-999,2,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Unheated Basement, Vented Attic, No Garage",Unheated Basement,"30% Leakage to Outside, Uninsulated",<8,Brick,None,100% Conditioned,20 ACH50,R-7,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Brick, 12-in, 3-wythe, Uninsulated",None,1,150%+,400%+,Yes,Gas,Standard,Electric Resistance,Never,Standard,100%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,150%+,Natural Gas,Natural Gas Standard,Yes,Unheated Basement,F15 B15 L15 R15,"Double, Clear, Non-metal, Air"
205,5A,Hour0,"G2600810, G26001002",No,None,"MI, Grand Rapids","MI, Kent County",Non-CBSA East North Central,5A,Cold,None,20 ft^2,Fiberglass,2 ft,"Pickup, Battery Electric Vehicle, 300 mile range",9000,Northern,MISO Central,1.4,No,No,No Exterior Use,Uninsulated,MISO,Light Curtains,100% Usage,100% Usage,None,"Grand Rapids-Wyoming, MI MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",East,"MI, 01002",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",103,No,Hour16,19,MI,East North Central,East North Central,Midwest,Others,100% LED,CR04,85%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,None,None,None,0%,<1940,Slab,None,70F,None,None,None,Yes,"Fuel Furnace, 92.5% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,68F,Yes,6F,Day and Night +5h,80000-99999,80000-99999,60000-99999,1500-1999,4,1500-2499,2,None,None,None,Single-Family Detached,2,None,None,"Single-Family Detached, Slab, No Attic, No Garage",Living Space,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Wood, Medium/Dark",None,40 ACH50,None,None,None,None,"Finished, R-30",Uninsulated,"Wood Stud, Uninsulated",Typical Efficiency,4,100-120%,300-400%,Yes,Gas,EnergyStar,Gas,Never,None,80-99%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 19.9,"Metal, Dark",80-100%,Natural Gas,Natural Gas Standard,Yes,Living Space,F15 B15 L15 R15,"Double, Clear, Non-metal, Air"
