Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	Option=Solar Thermal	Option=Wood	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 2 - 4 Units	Electricity	WV	0.72838	0	0.27162	0	0	0	0	4	13666.2	10	41857.8
Multi-Family with 5+ Units	Electricity	WV	0.72838	0	0.27162	0	0	0	0	6	28191.5	10	41857.8
Single-Family Attached	Electricity	WV	0.981976	0	0.0180243	0	0	0	0	8	18344.6	58	188127
Single-Family Detached	Electricity	WV	0.980028	0	0.0199718	0	0	0	0	50	169782	50	169782
Mobile Home	Electricity	WY	0.665819	0	0.213456	0	0.120725	0	0	3	3345.15	20	21668.4
Multi-Family with 2 - 4 Units	Electricity	WY	0.770409	0	0.229591	0	0	0	0	1	1540.04	72	481991
Multi-Family with 5+ Units	Electricity	WY	0.770409	0	0.229591	0	0	0	0	8	16913.5	72	481991
Single-Family Attached	Electricity	WY	0.736885	0	0.201937	0	0.0611779	0	0	4	3422.78	17	18323.2
Single-Family Detached	Electricity	WY	0.676445	0	0.248324	0	0.075231	0	0	13	14900.4	13	14900.4
Mobile Home	Fuel Oil	AK	0.465126	0.464869	0	0.0281414	0.0418631	0	0	3	2828.31	65	54878
Multi-Family with 2 - 4 Units	Fuel Oil	AK	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	4	4136.62	115	843048
Multi-Family with 5+ Units	Fuel Oil	AK	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	2	2289.42	115	843048
Single-Family Attached	Fuel Oil	AK	0.454207	0.471985	0	0.0296706	0.0441379	0	0	8	4653.73	62	52049.6
Single-Family Detached	Fuel Oil	AK	0.470089	0.448855	0	0.0325839	0.0484717	0	0	54	47395.9	54	47395.9
Mobile Home	Fuel Oil	AL	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	AL	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	AL	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	AL	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Single-Family Detached	Fuel Oil	AL	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Mobile Home	Fuel Oil	AR	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	AR	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	AR	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	AR	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Single-Family Detached	Fuel Oil	AR	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Mobile Home	Fuel Oil	AZ	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	AZ	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	1	10806.4	115	843048
Multi-Family with 5+ Units	Fuel Oil	AZ	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	AZ	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Single-Family Detached	Fuel Oil	AZ	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Mobile Home	Fuel Oil	CA	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	0	0	71	86994.4
Multi-Family with 2 - 4 Units	Fuel Oil	CA	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	CA	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	CA	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	0	0	71	86994.4
Single-Family Detached	Fuel Oil	CA	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	0	0	71	86994.4
Mobile Home	Fuel Oil	CO	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	CO	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	CO	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	CO	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Single-Family Detached	Fuel Oil	CO	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Mobile Home	Fuel Oil	CT	0.376781	0.541154	0.0414088	0	0.0329376	0.00771865	0	0	0	123	515529
Multi-Family with 2 - 4 Units	Fuel Oil	CT	0.225452	0.517516	0.148001	0	0.0942567	0	0.0147741	3	26210.5	50	225656
Multi-Family with 5+ Units	Fuel Oil	CT	0.225452	0.517516	0.148001	0	0.0942567	0	0.0147741	0	0	50	225656
Single-Family Attached	Fuel Oil	CT	0.376781	0.541154	0.0414088	0	0.0329376	0.00771865	0	4	10397.8	123	515529
Single-Family Detached	Fuel Oil	CT	0.371998	0.544247	0.0422612	0	0.0336156	0.00787753	0	119	505131	119	505131
Mobile Home	Fuel Oil	DC	0.86116	0.101978	0.0181	0	0.0187624	0	0	0	0	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	DC	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	DC	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	3	4851.12	115	843048
Single-Family Attached	Fuel Oil	DC	0.86116	0.101978	0.0181	0	0.0187624	0	0	0	0	70	425379
Single-Family Detached	Fuel Oil	DC	0.86116	0.101978	0.0181	0	0.0187624	0	0	0	0	70	425379
Mobile Home	Fuel Oil	DE	0.672971	0.226945	0.100083	0	0	0	0	1	2731.85	11	30438
Multi-Family with 2 - 4 Units	Fuel Oil	DE	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	DE	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	DE	0.640726	0.249323	0.109952	0	0	0	0	1	2527.81	10	27706.1
Single-Family Detached	Fuel Oil	DE	0.640726	0.249323	0.109952	0	0	0	0	9	25178.3	10	27706.1
Mobile Home	Fuel Oil	FL	0.86116	0.101978	0.0181	0	0.0187624	0	0	0	0	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	FL	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	FL	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	FL	0.86116	0.101978	0.0181	0	0.0187624	0	0	0	0	70	425379
Single-Family Detached	Fuel Oil	FL	0.86116	0.101978	0.0181	0	0.0187624	0	0	0	0	70	425379
Mobile Home	Fuel Oil	GA	0.86116	0.101978	0.0181	0	0.0187624	0	0	1	10983.4	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	GA	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	GA	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	GA	0.86116	0.101978	0.0181	0	0.0187624	0	0	0	0	70	425379
Single-Family Detached	Fuel Oil	GA	0.86116	0.101978	0.0181	0	0.0187624	0	0	0	0	70	425379
Mobile Home	Fuel Oil	HI	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	0	0	71	86994.4
Multi-Family with 2 - 4 Units	Fuel Oil	HI	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	HI	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	HI	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	0	0	71	86994.4
Single-Family Detached	Fuel Oil	HI	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	0	0	71	86994.4
Mobile Home	Fuel Oil	IA	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	IA	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	IA	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	IA	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Single-Family Detached	Fuel Oil	IA	0.855221	0.0188962	0	0	0.125883	0	0	1	4467.05	13	42286.1
Mobile Home	Fuel Oil	ID	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	ID	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	ID	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	ID	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Single-Family Detached	Fuel Oil	ID	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	2	4805.84	73	91800.3
Mobile Home	Fuel Oil	IL	0.823299	0.0979819	0	0	0.0787188	0	0	0	0	18	184178
Multi-Family with 2 - 4 Units	Fuel Oil	IL	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	IL	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	IL	0.823299	0.0979819	0	0	0.0787188	0	0	0	0	18	184178
Single-Family Detached	Fuel Oil	IL	0.823299	0.0979819	0	0	0.0787188	0	0	0	0	18	184178
Mobile Home	Fuel Oil	IN	0.823299	0.0979819	0	0	0.0787188	0	0	0	0	18	184178
Multi-Family with 2 - 4 Units	Fuel Oil	IN	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	IN	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	IN	0.823299	0.0979819	0	0	0.0787188	0	0	0	0	18	184178
Single-Family Detached	Fuel Oil	IN	0.823299	0.0979819	0	0	0.0787188	0	0	1	5132.62	18	184178
Mobile Home	Fuel Oil	KS	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	KS	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	KS	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	KS	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Single-Family Detached	Fuel Oil	KS	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Mobile Home	Fuel Oil	KY	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	KY	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	KY	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	KY	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Single-Family Detached	Fuel Oil	KY	0.872233	0.0938449	0.0166565	0	0.017266	0	0	5	21041.1	78	462243
Mobile Home	Fuel Oil	LA	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	LA	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	LA	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	LA	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Single-Family Detached	Fuel Oil	LA	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Mobile Home	Fuel Oil	MA	0.339063	0.601032	0.0599059	0	0	0	0	1	4596.5	134	557084
Multi-Family with 2 - 4 Units	Fuel Oil	MA	0.298481	0.448598	0.196024	0	0.0568963	0	0	9	66180.6	15	105406
Multi-Family with 5+ Units	Fuel Oil	MA	0.298481	0.448598	0.196024	0	0.0568963	0	0	6	39225.1	15	105406
Single-Family Attached	Fuel Oil	MA	0.333564	0.606032	0.0604043	0	0	0	0	4	10082	133	552487
Single-Family Detached	Fuel Oil	MA	0.330632	0.613374	0.0559947	0	0	0	0	129	542405	129	542405
Mobile Home	Fuel Oil	MD	0.776558	0.192722	0.0307208	0	0	0	0	0	0	26	151461
Multi-Family with 2 - 4 Units	Fuel Oil	MD	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	MD	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	MD	0.776558	0.192722	0.0307208	0	0	0	0	1	4376.79	26	151461
Single-Family Detached	Fuel Oil	MD	0.769909	0.198456	0.031635	0	0	0	0	25	147085	25	147085
Mobile Home	Fuel Oil	ME	0.325031	0.600324	0	0	0.0646544	0	0.00999097	9	23842.3	101	239422
Multi-Family with 2 - 4 Units	Fuel Oil	ME	0.225452	0.517516	0.148001	0	0.0942567	0	0.0147741	8	31577	50	225656
Multi-Family with 5+ Units	Fuel Oil	ME	0.225452	0.517516	0.148001	0	0.0942567	0	0.0147741	1	3333.87	50	225656
Single-Family Attached	Fuel Oil	ME	0.289076	0.666717	0	0	0.0331112	0	0.0110959	4	5513.2	92	215579
Single-Family Detached	Fuel Oil	ME	0.282554	0.672079	0	0	0.0339802	0	0.0113871	88	210066	88	210066
Mobile Home	Fuel Oil	MI	0.823299	0.0979819	0	0	0.0787188	0	0	0	0	18	184178
Multi-Family with 2 - 4 Units	Fuel Oil	MI	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	2	29406.4	115	843048
Multi-Family with 5+ Units	Fuel Oil	MI	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	MI	0.823299	0.0979819	0	0	0.0787188	0	0	0	0	18	184178
Single-Family Detached	Fuel Oil	MI	0.823299	0.0979819	0	0	0.0787188	0	0	5	49556.8	18	184178
Mobile Home	Fuel Oil	MN	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	MN	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	MN	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	MN	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Single-Family Detached	Fuel Oil	MN	0.855221	0.0188962	0	0	0.125883	0	0	4	28105.6	13	42286.1
Mobile Home	Fuel Oil	MO	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	MO	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	MO	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	MO	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Single-Family Detached	Fuel Oil	MO	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Mobile Home	Fuel Oil	MS	0.872233	0.0938449	0.0166565	0	0.017266	0	0	1	6672.63	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	MS	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	MS	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	MS	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Single-Family Detached	Fuel Oil	MS	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Mobile Home	Fuel Oil	MT	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	MT	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	MT	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	1	4652.03	115	843048
Single-Family Attached	Fuel Oil	MT	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Single-Family Detached	Fuel Oil	MT	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Mobile Home	Fuel Oil	NC	0.86116	0.101978	0.0181	0	0.0187624	0	0	0	0	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	NC	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	NC	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	NC	0.86116	0.101978	0.0181	0	0.0187624	0	0	0	0	70	425379
Single-Family Detached	Fuel Oil	NC	0.86116	0.101978	0.0181	0	0.0187624	0	0	9	73796.4	70	425379
Mobile Home	Fuel Oil	ND	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	ND	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	ND	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	4	5872.85	115	843048
Single-Family Attached	Fuel Oil	ND	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Single-Family Detached	Fuel Oil	ND	0.855221	0.0188962	0	0	0.125883	0	0	6	5483.77	13	42286.1
Mobile Home	Fuel Oil	NE	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	NE	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	NE	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	NE	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Single-Family Detached	Fuel Oil	NE	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Mobile Home	Fuel Oil	NH	0.48046	0.475612	0	0	0.0439279	0	0	5	17181.6	66	195046
Multi-Family with 2 - 4 Units	Fuel Oil	NH	0.225452	0.517516	0.148001	0	0.0942567	0	0.0147741	4	16963.3	50	225656
Multi-Family with 5+ Units	Fuel Oil	NH	0.225452	0.517516	0.148001	0	0.0942567	0	0.0147741	1	3711.07	50	225656
Single-Family Attached	Fuel Oil	NH	0.430273	0.521556	0	0	0.0481713	0	0	5	8454.49	61	177864
Single-Family Detached	Fuel Oil	NH	0.431029	0.518396	0	0	0.0505753	0	0	56	169410	56	169410
Mobile Home	Fuel Oil	NJ	0.381774	0.383447	0.206983	0	0.0277957	0	0	0	0	29	187636
Multi-Family with 2 - 4 Units	Fuel Oil	NJ	0.116425	0.707403	0.176172	0	0	0	0	0	0	46	530112
Multi-Family with 5+ Units	Fuel Oil	NJ	0.116425	0.707403	0.176172	0	0	0	0	4	42001.5	46	530112
Single-Family Attached	Fuel Oil	NJ	0.381774	0.383447	0.206983	0	0.0277957	0	0	2	10588.3	29	187636
Single-Family Detached	Fuel Oil	NJ	0.374032	0.406379	0.190131	0	0.0294581	0	0	27	177048	27	177048
Mobile Home	Fuel Oil	NM	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	NM	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	NM	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	NM	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Single-Family Detached	Fuel Oil	NM	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Mobile Home	Fuel Oil	NV	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	NV	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	NV	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	NV	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Single-Family Detached	Fuel Oil	NV	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	0	0	73	91800.3
Mobile Home	Fuel Oil	NY	0.3767	0.489818	0.0670288	0	0.066453	0	0	8	67075.7	111	770897
Multi-Family with 2 - 4 Units	Fuel Oil	NY	0.108494	0.717968	0.173539	0	0	0	0	9	103949	41	476402
Multi-Family with 5+ Units	Fuel Oil	NY	0.0945938	0.740128	0.165279	0	0	0	0	32	372453	32	372453
Single-Family Attached	Fuel Oil	NY	0.326857	0.536499	0.0734168	0	0.0632271	0	0	4	26059.3	103	703821
Single-Family Detached	Fuel Oil	NY	0.318829	0.539273	0.0762396	0	0.0656581	0	0	99	677762	99	677762
Mobile Home	Fuel Oil	OH	0.823299	0.0979819	0	0	0.0787188	0	0	0	0	18	184178
Multi-Family with 2 - 4 Units	Fuel Oil	OH	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	OH	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	1	19087.4	115	843048
Single-Family Attached	Fuel Oil	OH	0.823299	0.0979819	0	0	0.0787188	0	0	0	0	18	184178
Single-Family Detached	Fuel Oil	OH	0.823299	0.0979819	0	0	0.0787188	0	0	7	99742.2	18	184178
Mobile Home	Fuel Oil	OK	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	OK	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	OK	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	OK	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Single-Family Detached	Fuel Oil	OK	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Mobile Home	Fuel Oil	OR	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	1	4961.35	71	86994.4
Multi-Family with 2 - 4 Units	Fuel Oil	OR	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	OR	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	OR	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	0	0	71	86994.4
Single-Family Detached	Fuel Oil	OR	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	4	21468.1	71	86994.4
Mobile Home	Fuel Oil	PA	0.59111	0.335723	0.0509064	0.0112672	0.0109926	0	0	3	22750.7	80	635207
Multi-Family with 2 - 4 Units	Fuel Oil	PA	0.116425	0.707403	0.176172	0	0	0	0	1	11708.7	46	530112
Multi-Family with 5+ Units	Fuel Oil	PA	0.116425	0.707403	0.176172	0	0	0	0	0	0	46	530112
Single-Family Attached	Fuel Oil	PA	0.575922	0.348194	0.0527974	0.0116857	0.0114009	0	0	9	71643.3	77	612457
Single-Family Detached	Fuel Oil	PA	0.55872	0.375857	0.0392786	0.0132337	0.0129112	0	0	68	540813	68	540813
Mobile Home	Fuel Oil	RI	0.269643	0.675731	0.0378551	0	0.0167707	0	0	3	6178.38	63	114394
Multi-Family with 2 - 4 Units	Fuel Oil	RI	0.225452	0.517516	0.148001	0	0.0942567	0	0.0147741	3	11327.6	50	225656
Multi-Family with 5+ Units	Fuel Oil	RI	0.225452	0.517516	0.148001	0	0.0942567	0	0.0147741	1	3971.09	50	225656
Single-Family Attached	Fuel Oil	RI	0.227944	0.714311	0.0400164	0	0.0177282	0	0	2	2669.01	60	108215
Single-Family Detached	Fuel Oil	RI	0.233708	0.707087	0.0410283	0	0.0181765	0	0	58	105546	58	105546
Mobile Home	Fuel Oil	SC	0.86116	0.101978	0.0181	0	0.0187624	0	0	0	0	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	SC	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	SC	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	SC	0.86116	0.101978	0.0181	0	0.0187624	0	0	0	0	70	425379
Single-Family Detached	Fuel Oil	SC	0.86116	0.101978	0.0181	0	0.0187624	0	0	1	5778.72	70	425379
Mobile Home	Fuel Oil	SD	0.855221	0.0188962	0	0	0.125883	0	0	1	2289.1	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	SD	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	SD	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	SD	0.855221	0.0188962	0	0	0.125883	0	0	0	0	13	42286.1
Single-Family Detached	Fuel Oil	SD	0.855221	0.0188962	0	0	0.125883	0	0	1	1940.64	13	42286.1
Mobile Home	Fuel Oil	TN	0.872233	0.0938449	0.0166565	0	0.017266	0	0	1	4280.91	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	TN	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	TN	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Single-Family Attached	Fuel Oil	TN	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Single-Family Detached	Fuel Oil	TN	0.872233	0.0938449	0.0166565	0	0.017266	0	0	1	4869.35	78	462243
Mobile Home	Fuel Oil	TX	0.872233	0.0938449	0.0166565	0	0.017266	0	0	0	0	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	TX	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	TX	0.144632	0.654824	0.17136	0	0.0252294	0	0.00395454	0	0	115	843048
