Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Option=EF 12, National Average	Option=None	Option=Void	source_count	source_weight	fallback_count	fallback_weight
150-200%	Multi-Family with 5+ Units	KY	Owner	0.231164	0.768836	0	0	0	28	270480
150-200%	Multi-Family with 5+ Units	KY	Renter	0.297554	0.702446	0	8	30844.4	24	148249
200-300%	Multi-Family with 5+ Units	KY	Not Available	0	0	1	7	24199.4	26	100094
200-300%	Multi-Family with 5+ Units	KY	Owner	0.0502389	0.949761	0	0	0	57	424181
200-300%	Multi-Family with 5+ Units	KY	Renter	0.115782	0.884218	0	7	24199.4	26	100094
300-400%	Multi-Family with 5+ Units	KY	Not Available	0	0	1	5	14535.5	15	78473.3
300-400%	Multi-Family with 5+ Units	KY	Owner	0.0502389	0.949761	0	1	2565.03	57	424181
300-400%	Multi-Family with 5+ Units	KY	Renter	0	1	0	4	11970.5	14	75908.3
400%+	Multi-Family with 5+ Units	KY	Not Available	0	0	1	10	45024.2	10	45024.2
400%+	Multi-Family with 5+ Units	KY	Owner	0.0470812	0.952919	0	3	11659.1	84	597189
400%+	Multi-Family with 5+ Units	KY	Renter	0	1	0	7	33365.1	26	166019
Not Available	Multi-Family with 5+ Units	KY	Not Available	0.0561169	0.943883	0	34	197477	34	197477
Not Available	Multi-Family with 5+ Units	KY	Owner	0	0	1	3	14224.1	133	1.29185e+06
Not Available	Multi-Family with 5+ Units	KY	Renter	0	0	1	31	183253	31	183253
0-100%	Multi-Family with 5+ Units	LA	Not Available	0	0	1	5	32947.8	52	631694
0-100%	Multi-Family with 5+ Units	LA	Owner	0.231164	0.768836	0	0	0	28	270480
0-100%	Multi-Family with 5+ Units	LA	Renter	0.149684	0.850316	0	5	32947.8	51	614164
100-150%	Multi-Family with 5+ Units	LA	Not Available	0	0	1	3	14949.4	28	254653
100-150%	Multi-Family with 5+ Units	LA	Owner	0.231164	0.768836	0	0	0	28	270480
100-150%	Multi-Family with 5+ Units	LA	Renter	0.192475	0.807525	0	3	14949.4	28	254653
150-200%	Multi-Family with 5+ Units	LA	Not Available	0	0	1	3	15882.4	25	226055
150-200%	Multi-Family with 5+ Units	LA	Owner	0.231164	0.768836	0	0	0	28	270480
150-200%	Multi-Family with 5+ Units	LA	Renter	0.25424	0.74576	0	3	15882.4	25	226055
200-300%	Multi-Family with 5+ Units	LA	Not Available	0	0	1	11	76934.2	11	76934.2
200-300%	Multi-Family with 5+ Units	LA	Owner	0.0502389	0.949761	0	1	9111.08	57	424181
200-300%	Multi-Family with 5+ Units	LA	Renter	0.10779	0.89221	0	10	67823.1	10	67823.1
300-400%	Multi-Family with 5+ Units	LA	Not Available	0	0	1	5	33707.7	21	183958
300-400%	Multi-Family with 5+ Units	LA	Owner	0.0502389	0.949761	0	0	0	57	424181
300-400%	Multi-Family with 5+ Units	LA	Renter	0	1	0	5	33707.7	21	183958
400%+	Multi-Family with 5+ Units	LA	Not Available	0	0	1	9	47132.8	66	759888
400%+	Multi-Family with 5+ Units	LA	Owner	0.0470812	0.952919	0	1	8399.99	84	597189
400%+	Multi-Family with 5+ Units	LA	Renter	0.0565503	0.94345	0	8	38732.8	61	695503
Not Available	Multi-Family with 5+ Units	LA	Not Available	0.104683	0.895317	0	26	221554	26	221554
Not Available	Multi-Family with 5+ Units	LA	Owner	0	0	1	2	17511.1	10	126819
Not Available	Multi-Family with 5+ Units	LA	Renter	0	0	1	24	204043	24	204043
0-100%	Multi-Family with 5+ Units	MA	Not Available	0	0	1	22	156028	22	156028
0-100%	Multi-Family with 5+ Units	MA	Owner	0.419043	0.580957	0	2	13514.7	23	98148.4
0-100%	Multi-Family with 5+ Units	MA	Renter	0.0905786	0.909421	0	20	142513	20	142513
100-150%	Multi-Family with 5+ Units	MA	Not Available	0	0	1	12	39582.3	12	39582.3
100-150%	Multi-Family with 5+ Units	MA	Owner	0.475336	0.524664	0	0	0	17	71811.1
100-150%	Multi-Family with 5+ Units	MA	Renter	0.122511	0.877489	0	12	39582.3	12	39582.3
150-200%	Multi-Family with 5+ Units	MA	Not Available	0	0	1	9	40072.6	35	113068
150-200%	Multi-Family with 5+ Units	MA	Owner	0.475336	0.524664	0	0	0	17	71811.1
150-200%	Multi-Family with 5+ Units	MA	Renter	0.127976	0.872024	0	9	40072.6	32	103998
200-300%	Multi-Family with 5+ Units	MA	Not Available	0	0	1	16	52290.2	16	52290.2
200-300%	Multi-Family with 5+ Units	MA	Owner	0.310865	0.689135	0	2	6000.07	15	43854.7
200-300%	Multi-Family with 5+ Units	MA	Renter	0.0281863	0.971814	0	14	46290.1	14	46290.1
300-400%	Multi-Family with 5+ Units	MA	Not Available	0	0	1	15	70839.8	15	70839.8
300-400%	Multi-Family with 5+ Units	MA	Owner	0.330056	0.669944	0	1	5170.84	24	82599.5
300-400%	Multi-Family with 5+ Units	MA	Renter	0	1	0	14	65669	14	65669
400%+	Multi-Family with 5+ Units	MA	Not Available	0	0	1	41	210246	41	210246
400%+	Multi-Family with 5+ Units	MA	Owner	0	1	0	10	61877.5	10	61877.5
400%+	Multi-Family with 5+ Units	MA	Renter	0	1	0	31	148368	31	148368
Not Available	Multi-Family with 5+ Units	MA	Not Available	0.0673679	0.932632	0	88	569059	88	569059
Not Available	Multi-Family with 5+ Units	MA	Owner	0	0	1	14	86563.1	14	86563.1
Not Available	Multi-Family with 5+ Units	MA	Renter	0	0	1	74	482496	74	482496
0-100%	Multi-Family with 5+ Units	MD	Not Available	0	0	1	13	128055	13	128055
0-100%	Multi-Family with 5+ Units	MD	Owner	0.189384	0.810616	0	1	7305.57	25	237589
0-100%	Multi-Family with 5+ Units	MD	Renter	0.225639	0.774361	0	12	120750	12	120750
100-150%	Multi-Family with 5+ Units	MD	Not Available	0	0	1	8	38000.7	70	487314
100-150%	Multi-Family with 5+ Units	MD	Owner	0.165321	0.834679	0	1	7670.12	18	170172
100-150%	Multi-Family with 5+ Units	MD	Renter	0.227838	0.772162	0	7	30330.5	62	390050
150-200%	Multi-Family with 5+ Units	MD	Not Available	0	0	1	5	23449.7	58	388799
150-200%	Multi-Family with 5+ Units	MD	Owner	0.165321	0.834679	0	0	0	18	170172
150-200%	Multi-Family with 5+ Units	MD	Renter	0.100773	0.899227	0	5	23449.7	51	328508
200-300%	Multi-Family with 5+ Units	MD	Not Available	0	0	1	9	42841.4	111	777683
200-300%	Multi-Family with 5+ Units	MD	Owner	0.00647664	0.993523	0	0	0	23	136166
200-300%	Multi-Family with 5+ Units	MD	Renter	0.0833377	0.916662	0	9	42841.4	88	641517
300-400%	Multi-Family with 5+ Units	MD	Not Available	0	0	1	10	72250	10	72250
300-400%	Multi-Family with 5+ Units	MD	Owner	0.0051878	0.994812	0	1	8181.88	19	182808
300-400%	Multi-Family with 5+ Units	MD	Renter	0.0913718	0.908628	0	9	64068.1	58	498560
400%+	Multi-Family with 5+ Units	MD	Not Available	0	0	1	32	253088	32	253088
400%+	Multi-Family with 5+ Units	MD	Owner	0.102944	0.897056	0	10	83771.9	10	83771.9
400%+	Multi-Family with 5+ Units	MD	Renter	0.150798	0.849202	0	22	169316	22	169316
Not Available	Multi-Family with 5+ Units	MD	Not Available	0.13567	0.86433	0	59	557685	59	557685
Not Available	Multi-Family with 5+ Units	MD	Owner	0	0	1	12	106930	12	106930
Not Available	Multi-Family with 5+ Units	MD	Renter	0	0	1	47	450755	47	450755
0-100%	Multi-Family with 5+ Units	ME	Not Available	0	0	1	4	11776	55	298830
0-100%	Multi-Family with 5+ Units	ME	Owner	0.419043	0.580957	0	0	0	23	98148.4
0-100%	Multi-Family with 5+ Units	ME	Renter	0.133863	0.866137	0	4	11776	50	274496
100-150%	Multi-Family with 5+ Units	ME	Not Available	0	0	1	9	22417.5	43	134791
100-150%	Multi-Family with 5+ Units	ME	Owner	0.475336	0.524664	0	1	2295.91	17	71811.1
100-150%	Multi-Family with 5+ Units	ME	Renter	0.163776	0.836224	0	8	20121.6	40	124505
150-200%	Multi-Family with 5+ Units	ME	Not Available	0	0	1	5	13422	35	113068
150-200%	Multi-Family with 5+ Units	ME	Owner	0.475336	0.524664	0	1	682.111	17	71811.1
150-200%	Multi-Family with 5+ Units	ME	Renter	0.127976	0.872024	0	4	12739.9	32	103998
200-300%	Multi-Family with 5+ Units	ME	Not Available	0	0	1	4	4002.8	46	115568
200-300%	Multi-Family with 5+ Units	ME	Owner	0.310865	0.689135	0	0	0	15	43854.7
200-300%	Multi-Family with 5+ Units	ME	Renter	0.0248173	0.975183	0	4	4002.8	41	107624
300-400%	Multi-Family with 5+ Units	ME	Not Available	0	0	1	1	2783.67	27	106345
300-400%	Multi-Family with 5+ Units	ME	Owner	0.330056	0.669944	0	0	0	24	82599.5
300-400%	Multi-Family with 5+ Units	ME	Renter	0.024077	0.975923	0	1	2783.67	24	96429.9
400%+	Multi-Family with 5+ Units	ME	Not Available	0	0	1	4	13989.8	82	335077
400%+	Multi-Family with 5+ Units	ME	Owner	0.104853	0.895147	0	0	0	14	77885.1
400%+	Multi-Family with 5+ Units	ME	Renter	0.0194318	0.980568	0	4	13989.8	68	257192
Not Available	Multi-Family with 5+ Units	ME	Not Available	0.0560396	0.94396	0	19	68391.8	19	68391.8
Not Available	Multi-Family with 5+ Units	ME	Owner	0	0	1	1	2978.02	27	139435
Not Available	Multi-Family with 5+ Units	ME	Renter	0	0	1	18	65413.8	18	65413.8
0-100%	Multi-Family with 5+ Units	MI	Not Available	0	0	1	8	111079	56	713623
0-100%	Multi-Family with 5+ Units	MI	Owner	0.10542	0.89458	0	0	0	16	170578
0-100%	Multi-Family with 5+ Units	MI	Renter	0.132683	0.867317	0	8	111079	54	689007
100-150%	Multi-Family with 5+ Units	MI	Not Available	0	0	1	3	23760.2	38	293485
100-150%	Multi-Family with 5+ Units	MI	Owner	0.10542	0.89458	0	0	0	16	170578
100-150%	Multi-Family with 5+ Units	MI	Renter	0.186497	0.813503	0	3	23760.2	36	285914
150-200%	Multi-Family with 5+ Units	MI	Not Available	0	0	1	3	22738.2	25	239545
150-200%	Multi-Family with 5+ Units	MI	Owner	0.10542	0.89458	0	0	0	16	170578
150-200%	Multi-Family with 5+ Units	MI	Renter	0.409773	0.590227	0	3	22738.2	23	227553
200-300%	Multi-Family with 5+ Units	MI	Not Available	0	0	1	12	131009	12	131009
200-300%	Multi-Family with 5+ Units	MI	Owner	0.314071	0.685929	0	1	9720.58	11	138390
200-300%	Multi-Family with 5+ Units	MI	Renter	0.129406	0.870594	0	11	121288	11	121288
300-400%	Multi-Family with 5+ Units	MI	Not Available	0	0	1	3	25990.9	35	276856
300-400%	Multi-Family with 5+ Units	MI	Owner	0.247548	0.752452	0	0	0	10	65675.9
300-400%	Multi-Family with 5+ Units	MI	Renter	0.0700076	0.929992	0	3	25990.9	29	237535
400%+	Multi-Family with 5+ Units	MI	Not Available	0	0	1	9	105595	99	963618
400%+	Multi-Family with 5+ Units	MI	Owner	0.0409333	0.959067	0	3	40563.4	28	326757
400%+	Multi-Family with 5+ Units	MI	Renter	0.061842	0.938158	0	6	65031.7	71	636861
Not Available	Multi-Family with 5+ Units	MI	Not Available	0.189297	0.810703	0	31	420172	31	420172
Not Available	Multi-Family with 5+ Units	MI	Owner	0	0	1	4	50284	38	464256
Not Available	Multi-Family with 5+ Units	MI	Renter	0	0	1	27	369888	27	369888
0-100%	Multi-Family with 5+ Units	MN	Not Available	0	0	1	9	94649.5	49	303615
0-100%	Multi-Family with 5+ Units	MN	Owner	0.173554	0.826446	0	0	0	24	204721
0-100%	Multi-Family with 5+ Units	MN	Renter	0.0947665	0.905234	0	9	94649.5	48	302351
100-150%	Multi-Family with 5+ Units	MN	Not Available	0	0	1	5	21924.9	48	152791
100-150%	Multi-Family with 5+ Units	MN	Owner	0.173554	0.826446	0	1	6809.65	24	204721
100-150%	Multi-Family with 5+ Units	MN	Renter	0.112335	0.887665	0	4	15115.3	46	144475
150-200%	Multi-Family with 5+ Units	MN	Not Available	0	0	1	4	34679.3	40	117912
150-200%	Multi-Family with 5+ Units	MN	Owner	0.173554	0.826446	0	2	16890.1	24	204721
150-200%	Multi-Family with 5+ Units	MN	Renter	0.0783848	0.921615	0	2	17789.2	38	101022
200-300%	Multi-Family with 5+ Units	MN	Not Available	0	0	1	6	38638.8	57	199457
200-300%	Multi-Family with 5+ Units	MN	Owner	0.300048	0.699952	0	1	21.5393	30	240650
200-300%	Multi-Family with 5+ Units	MN	Renter	0.112793	0.887207	0	5	38617.3	53	185843
300-400%	Multi-Family with 5+ Units	MN	Not Available	0	0	1	6	43141.9	34	150051
300-400%	Multi-Family with 5+ Units	MN	Owner	0.300048	0.699952	0	0	0	30	240650
300-400%	Multi-Family with 5+ Units	MN	Renter	0.159692	0.840308	0	6	43141.9	31	129208
400%+	Multi-Family with 5+ Units	MN	Not Available	0	0	1	18	146210	18	146210
400%+	Multi-Family with 5+ Units	MN	Owner	0.0206132	0.979387	0	2	18193.5	13	70539.5
400%+	Multi-Family with 5+ Units	MN	Renter	0.166768	0.833232	0	16	128016	16	128016
Not Available	Multi-Family with 5+ Units	MN	Not Available	0.122478	0.877522	0	36	379244	36	379244
Not Available	Multi-Family with 5+ Units	MN	Owner	0	0	1	4	41914.8	16	105766
Not Available	Multi-Family with 5+ Units	MN	Renter	0	0	1	32	337329	32	337329
0-100%	Multi-Family with 5+ Units	MO	Not Available	0	0	1	4	43390.6	49	303615
0-100%	Multi-Family with 5+ Units	MO	Owner	0.173554	0.826446	0	0	0	24	204721
0-100%	Multi-Family with 5+ Units	MO	Renter	0.0947665	0.905234	0	4	43390.6	48	302351
100-150%	Multi-Family with 5+ Units	MO	Not Available	0	0	1	3	32131.7	48	152791
100-150%	Multi-Family with 5+ Units	MO	Owner	0.173554	0.826446	0	0	0	24	204721
100-150%	Multi-Family with 5+ Units	MO	Renter	0.112335	0.887665	0	3	32131.7	46	144475
150-200%	Multi-Family with 5+ Units	MO	Not Available	0	0	1	4	12279.2	40	117912
150-200%	Multi-Family with 5+ Units	MO	Owner	0.173554	0.826446	0	0	0	24	204721
150-200%	Multi-Family with 5+ Units	MO	Renter	0.0783848	0.921615	0	4	12279.2	38	101022
200-300%	Multi-Family with 5+ Units	MO	Not Available	0	0	1	5	40245.8	57	199457
200-300%	Multi-Family with 5+ Units	MO	Owner	0.300048	0.699952	0	0	0	30	240650
200-300%	Multi-Family with 5+ Units	MO	Renter	0.112793	0.887207	0	5	40245.8	53	185843
300-400%	Multi-Family with 5+ Units	MO	Not Available	0	0	1	4	31467.7	34	150051
300-400%	Multi-Family with 5+ Units	MO	Owner	0.300048	0.699952	0	1	12462.9	30	240650
300-400%	Multi-Family with 5+ Units	MO	Renter	0.159692	0.840308	0	3	19004.8	31	129208
400%+	Multi-Family with 5+ Units	MO	Not Available	0	0	1	10	99367.2	10	99367.2
400%+	Multi-Family with 5+ Units	MO	Owner	0.0206132	0.979387	0	3	23773.7	13	70539.5
400%+	Multi-Family with 5+ Units	MO	Renter	0.0893146	0.910685	0	7	75593.5	54	295992
Not Available	Multi-Family with 5+ Units	MO	Not Available	0.0943793	0.905621	0	22	258882	22	258882
Not Available	Multi-Family with 5+ Units	MO	Owner	0	0	1	3	36236.6	16	105766
Not Available	Multi-Family with 5+ Units	MO	Renter	0	0	1	19	222646	19	222646
0-100%	Multi-Family with 5+ Units	MS	Not Available	0	0	1	3	37062.3	27	209927
0-100%	Multi-Family with 5+ Units	MS	Owner	0.231164	0.768836	0	0	0	28	270480
0-100%	Multi-Family with 5+ Units	MS	Renter	0.102913	0.897087	0	3	37062.3	27	209927
100-150%	Multi-Family with 5+ Units	MS	Not Available	0	0	1	3	15026.9	23	104989
100-150%	Multi-Family with 5+ Units	MS	Owner	0.231164	0.768836	0	0	0	28	270480
100-150%	Multi-Family with 5+ Units	MS	Renter	0.00681465	0.993185	0	3	15026.9	23	104989
150-200%	Multi-Family with 5+ Units	MS	Not Available	0	0	1	3	28026.6	24	148249
150-200%	Multi-Family with 5+ Units	MS	Owner	0.231164	0.768836	0	0	0	28	270480
150-200%	Multi-Family with 5+ Units	MS	Renter	0.297554	0.702446	0	3	28026.6	24	148249
200-300%	Multi-Family with 5+ Units	MS	Not Available	0	0	1	5	33819.1	26	100094
200-300%	Multi-Family with 5+ Units	MS	Owner	0.0502389	0.949761	0	0	0	57	424181
200-300%	Multi-Family with 5+ Units	MS	Renter	0.115782	0.884218	0	5	33819.1	26	100094
300-400%	Multi-Family with 5+ Units	MS	Not Available	0	0	1	2	19655	15	78473.3
300-400%	Multi-Family with 5+ Units	MS	Owner	0.0502389	0.949761	0	0	0	57	424181
300-400%	Multi-Family with 5+ Units	MS	Renter	0	1	0	2	19655	14	75908.3
400%+	Multi-Family with 5+ Units	MS	Not Available	0	0	1	3	24569.9	32	200330
400%+	Multi-Family with 5+ Units	MS	Owner	0.0470812	0.952919	0	0	0	84	597189
400%+	Multi-Family with 5+ Units	MS	Renter	0	1	0	3	24569.9	26	166019
Not Available	Multi-Family with 5+ Units	MS	Not Available	0.18583	0.81417	0	14	158160	14	158160
Not Available	Multi-Family with 5+ Units	MS	Owner	0	0	1	0	0	133	1.29185e+06
Not Available	Multi-Family with 5+ Units	MS	Renter	0	0	1	14	158160	14	158160
0-100%	Multi-Family with 5+ Units	MT	Not Available	0	0	1	2	6008.84	26	144117
0-100%	Multi-Family with 5+ Units	MT	Owner	0.0372053	0.962795	0	0	0	25	130917
0-100%	Multi-Family with 5+ Units	MT	Renter	0.0704872	0.929513	0	2	6008.84	26	144117
100-150%	Multi-Family with 5+ Units	MT	Not Available	0	0	1	1	2656.58	20	62085.9
100-150%	Multi-Family with 5+ Units	MT	Owner	0.0372053	0.962795	0	0	0	25	130917
100-150%	Multi-Family with 5+ Units	MT	Renter	0.148395	0.851605	0	1	2656.58	20	62085.9
150-200%	Multi-Family with 5+ Units	MT	Not Available	0	0	1	1	4634.35	18	98518.3
150-200%	Multi-Family with 5+ Units	MT	Owner	0.0372053	0.962795	0	0	0	25	130917
150-200%	Multi-Family with 5+ Units	MT	Renter	0.314661	0.685339	0	1	4634.35	15	65618
200-300%	Multi-Family with 5+ Units	MT	Not Available	0	0	1	5	7519.72	32	130637
200-300%	Multi-Family with 5+ Units	MT	Owner	0.0103208	0.989679	0	0	0	44	149002
200-300%	Multi-Family with 5+ Units	MT	Renter	0.00875011	0.99125	0	5	7519.72	27	121313
300-400%	Multi-Family with 5+ Units	MT	Not Available	0	0	1	4	10481.9	19	97705.9
300-400%	Multi-Family with 5+ Units	MT	Owner	0.0103208	0.989679	0	0	0	44	149002
300-400%	Multi-Family with 5+ Units	MT	Renter	0.0300094	0.969991	0	4	10481.9	18	91303.9
400%+	Multi-Family with 5+ Units	MT	Not Available	0	0	1	3	9136.82	35	196080
400%+	Multi-Family with 5+ Units	MT	Owner	0.0673447	0.932655	0	0	0	44	311069
400%+	Multi-Family with 5+ Units	MT	Renter	0.083044	0.916956	0	3	9136.82	31	163831
Not Available	Multi-Family with 5+ Units	MT	Not Available	0.226918	0.773082	0	10	40438.2	10	40438.2
Not Available	Multi-Family with 5+ Units	MT	Owner	0	0	1	0	0	10	85347.3
Not Available	Multi-Family with 5+ Units	MT	Renter	0	0	1	10	40438.2	10	40438.2
0-100%	Multi-Family with 5+ Units	NC	Not Available	0	0	1	9	108315	81	709133
0-100%	Multi-Family with 5+ Units	NC	Owner	0.189384	0.810616	0	0	0	25	237589
0-100%	Multi-Family with 5+ Units	NC	Renter	0.0815125	0.918488	0	9	108315	75	655973
100-150%	Multi-Family with 5+ Units	NC	Not Available	0	0	1	11	92807	11	92807
100-150%	Multi-Family with 5+ Units	NC	Owner	0.165321	0.834679	0	0	0	18	170172
100-150%	Multi-Family with 5+ Units	NC	Renter	0.392113	0.607887	0	11	92807	11	92807
150-200%	Multi-Family with 5+ Units	NC	Not Available	0	0	1	9	49728.6	58	388799
150-200%	Multi-Family with 5+ Units	NC	Owner	0.165321	0.834679	0	0	0	18	170172
150-200%	Multi-Family with 5+ Units	NC	Renter	0.100773	0.899227	0	9	49728.6	51	328508
200-300%	Multi-Family with 5+ Units	NC	Not Available	0	0	1	15	128965	15	128965
200-300%	Multi-Family with 5+ Units	NC	Owner	0.00647664	0.993523	0	0	0	23	136166
200-300%	Multi-Family with 5+ Units	NC	Renter	0.166625	0.833375	0	15	128965	15	128965
300-400%	Multi-Family with 5+ Units	NC	Not Available	0	0	1	9	81756	77	681368
300-400%	Multi-Family with 5+ Units	NC	Owner	0.0051878	0.994812	0	0	0	19	182808
300-400%	Multi-Family with 5+ Units	NC	Renter	0.0913718	0.908628	0	9	81756	58	498560
400%+	Multi-Family with 5+ Units	NC	Not Available	0	0	1	16	112875	16	112875
400%+	Multi-Family with 5+ Units	NC	Owner	0.0186453	0.981355	0	1	8469.54	62	462518
400%+	Multi-Family with 5+ Units	NC	Renter	0	1	0	15	104406	15	104406
Not Available	Multi-Family with 5+ Units	NC	Not Available	0.130442	0.869558	0	50	574447	50	574447
Not Available	Multi-Family with 5+ Units	NC	Owner	0	0	1	1	8469.54	97	992208
Not Available	Multi-Family with 5+ Units	NC	Renter	0	0	1	49	565978	49	565978
0-100%	Multi-Family with 5+ Units	ND	Not Available	0	0	1	13	16913.5	13	16913.5
0-100%	Multi-Family with 5+ Units	ND	Owner	0.173554	0.826446	0	1	1264.1	24	204721
0-100%	Multi-Family with 5+ Units	ND	Renter	0.444193	0.555807	0	12	15649.4	12	15649.4
100-150%	Multi-Family with 5+ Units	ND	Not Available	0	0	1	20	20442	20	20442
100-150%	Multi-Family with 5+ Units	ND	Owner	0.173554	0.826446	0	1	1505.53	24	204721
100-150%	Multi-Family with 5+ Units	ND	Renter	0.341856	0.658144	0	19	18936.5	19	18936.5
150-200%	Multi-Family with 5+ Units	ND	Not Available	0	0	1	16	12717.1	16	12717.1
150-200%	Multi-Family with 5+ Units	ND	Owner	0.173554	0.826446	0	0	0	24	204721
150-200%	Multi-Family with 5+ Units	ND	Renter	0.281139	0.718861	0	16	12717.1	16	12717.1
200-300%	Multi-Family with 5+ Units	ND	Not Available	0	0	1	19	14812.2	19	14812.2
200-300%	Multi-Family with 5+ Units	ND	Owner	0.300048	0.699952	0	1	1458.4	30	240650
200-300%	Multi-Family with 5+ Units	ND	Renter	0.0850395	0.91496	0	18	13353.8	18	13353.8
300-400%	Multi-Family with 5+ Units	ND	Not Available	0	0	1	7	5729.58	34	150051
300-400%	Multi-Family with 5+ Units	ND	Owner	0.300048	0.699952	0	0	0	30	240650
300-400%	Multi-Family with 5+ Units	ND	Renter	0.159692	0.840308	0	7	5729.58	31	129208
400%+	Multi-Family with 5+ Units	ND	Not Available	0	0	1	15	14654.2	15	14654.2
400%+	Multi-Family with 5+ Units	ND	Owner	0.0206132	0.979387	0	2	2852.92	13	70539.5
400%+	Multi-Family with 5+ Units	ND	Renter	0.305461	0.694539	0	13	11801.3	13	11801.3
Not Available	Multi-Family with 5+ Units	ND	Not Available	0.309702	0.690298	0	62	85268.6	62	85268.6
Not Available	Multi-Family with 5+ Units	ND	Owner	0	0	1	5	7080.95	16	105766
Not Available	Multi-Family with 5+ Units	ND	Renter	0	0	1	57	78187.6	57	78187.6
0-100%	Multi-Family with 5+ Units	NE	Not Available	0	0	1	3	14264.1	49	303615
0-100%	Multi-Family with 5+ Units	NE	Owner	0.173554	0.826446	0	0	0	24	204721
0-100%	Multi-Family with 5+ Units	NE	Renter	0.0947665	0.905234	0	3	14264.1	48	302351
100-150%	Multi-Family with 5+ Units	NE	Not Available	0	0	1	4	18012.6	48	152791
100-150%	Multi-Family with 5+ Units	NE	Owner	0.173554	0.826446	0	0	0	24	204721
100-150%	Multi-Family with 5+ Units	NE	Renter	0.112335	0.887665	0	4	18012.6	46	144475
150-200%	Multi-Family with 5+ Units	NE	Not Available	0	0	1	6	16259	40	117912
150-200%	Multi-Family with 5+ Units	NE	Owner	0.173554	0.826446	0	0	0	24	204721
150-200%	Multi-Family with 5+ Units	NE	Renter	0.0783848	0.921615	0	6	16259	38	101022
200-300%	Multi-Family with 5+ Units	NE	Not Available	0	0	1	12	37243.7	12	37243.7
200-300%	Multi-Family with 5+ Units	NE	Owner	0.300048	0.699952	0	1	5725.39	30	240650
200-300%	Multi-Family with 5+ Units	NE	Renter	0.262044	0.737956	0	11	31518.3	11	31518.3
300-400%	Multi-Family with 5+ Units	NE	Not Available	0	0	1	8	36563.8	34	150051
300-400%	Multi-Family with 5+ Units	NE	Owner	0.300048	0.699952	0	0	0	30	240650
300-400%	Multi-Family with 5+ Units	NE	Renter	0.159692	0.840308	0	8	36563.8	31	129208
400%+	Multi-Family with 5+ Units	NE	Not Available	0	0	1	7	38442.9	63	340832
400%+	Multi-Family with 5+ Units	NE	Owner	0.0206132	0.979387	0	0	0	13	70539.5
400%+	Multi-Family with 5+ Units	NE	Renter	0.0893146	0.910685	0	7	38442.9	54	295992
Not Available	Multi-Family with 5+ Units	NE	Not Available	0.0634512	0.936549	0	25	160786	25	160786
Not Available	Multi-Family with 5+ Units	NE	Owner	0	0	1	1	5725.39	16	105766
Not Available	Multi-Family with 5+ Units	NE	Renter	0	0	1	24	155061	24	155061
0-100%	Multi-Family with 5+ Units	NH	Not Available	0	0	1	3	11889.4	55	298830
0-100%	Multi-Family with 5+ Units	NH	Owner	0.419043	0.580957	0	0	0	23	98148.4
0-100%	Multi-Family with 5+ Units	NH	Renter	0.133863	0.866137	0	3	11889.4	50	274496
100-150%	Multi-Family with 5+ Units	NH	Not Available	0	0	1	7	22060.4	43	134791
100-150%	Multi-Family with 5+ Units	NH	Owner	0.475336	0.524664	0	0	0	17	71811.1
100-150%	Multi-Family with 5+ Units	NH	Renter	0.163776	0.836224	0	7	22060.4	40	124505
150-200%	Multi-Family with 5+ Units	NH	Not Available	0	0	1	8	16219	35	113068
150-200%	Multi-Family with 5+ Units	NH	Owner	0.475336	0.524664	0	0	0	17	71811.1
150-200%	Multi-Family with 5+ Units	NH	Renter	0.127976	0.872024	0	8	16219	32	103998
200-300%	Multi-Family with 5+ Units	NH	Not Available	0	0	1	4	4111.6	46	115568
200-300%	Multi-Family with 5+ Units	NH	Owner	0.310865	0.689135	0	0	0	15	43854.7
200-300%	Multi-Family with 5+ Units	NH	Renter	0.0248173	0.975183	0	4	4111.6	41	107624
300-400%	Multi-Family with 5+ Units	NH	Not Available	0	0	1	3	6429.72	27	106345
300-400%	Multi-Family with 5+ Units	NH	Owner	0.330056	0.669944	0	0	0	24	82599.5
300-400%	Multi-Family with 5+ Units	NH	Renter	0.024077	0.975923	0	3	6429.72	24	96429.9
400%+	Multi-Family with 5+ Units	NH	Not Available	0	0	1	13	43538.1	13	43538.1
400%+	Multi-Family with 5+ Units	NH	Owner	0.104853	0.895147	0	0	0	14	77885.1
400%+	Multi-Family with 5+ Units	NH	Renter	0	1	0	13	43538.1	13	43538.1
Not Available	Multi-Family with 5+ Units	NH	Not Available	0.074654	0.925346	0	26	104248	26	104248
Not Available	Multi-Family with 5+ Units	NH	Owner	0	0	1	0	0	27	139435
Not Available	Multi-Family with 5+ Units	NH	Renter	0	0	1	26	104248	26	104248
0-100%	Multi-Family with 5+ Units	NJ	Not Available	0	0	1	10	95307.4	10	95307.4
0-100%	Multi-Family with 5+ Units	NJ	Owner	0.0757902	0.92421	0	0	0	20	175426
0-100%	Multi-Family with 5+ Units	NJ	Renter	0.0252873	0.974713	0	10	95307.4	10	95307.4
100-150%	Multi-Family with 5+ Units	NJ	Not Available	0	0	1	6	23205	47	265130
100-150%	Multi-Family with 5+ Units	NJ	Owner	0	1	0	1	4275.55	13	97506.8
100-150%	Multi-Family with 5+ Units	NJ	Renter	0.0923117	0.907688	0	5	18929.4	44	252973
