Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=Has Pool	Option=None	Option=Void	source_count	source_weight	fallback_count	fallback_weight
200-300%	Multi-Family with 5+ Units	MI	Not Available	2000s	0	0	1	0	0	16	164633
200-300%	Multi-Family with 5+ Units	MI	Owner	2000s	0	1	0	0	0	26	145768
200-300%	Multi-Family with 5+ Units	MI	Renter	2000s	0	1	0	0	0	16	164633
300-400%	Multi-Family with 5+ Units	MI	Not Available	2000s	0	0	1	1	10948.6	16	164633
300-400%	Multi-Family with 5+ Units	MI	Owner	2000s	0	1	0	0	0	26	145768
300-400%	Multi-Family with 5+ Units	MI	Renter	2000s	0	1	0	1	10948.6	16	164633
400%+	Multi-Family with 5+ Units	MI	Not Available	2000s	0	0	1	3	23771.4	23	197537
400%+	Multi-Family with 5+ Units	MI	Owner	2000s	0	1	0	1	11832.6	10	120620
400%+	Multi-Family with 5+ Units	MI	Renter	2000s	0	1	0	2	11938.7	15	103352
Not Available	Multi-Family with 5+ Units	MI	Not Available	2000s	0	1	0	5	61156.2	37	408042
Not Available	Multi-Family with 5+ Units	MI	Owner	2000s	0	0	1	1	11832.6	11	124023
Not Available	Multi-Family with 5+ Units	MI	Renter	2000s	0	0	1	4	49323.5	26	284019
0-100%	Multi-Family with 5+ Units	MI	Not Available	2010s	0	0	1	0	0	11	105568
0-100%	Multi-Family with 5+ Units	MI	Owner	2010s	0	1	0	0	0	22	141256
0-100%	Multi-Family with 5+ Units	MI	Renter	2010s	0	1	0	0	0	11	105568
100-150%	Multi-Family with 5+ Units	MI	Not Available	2010s	0	0	1	0	0	11	105568
100-150%	Multi-Family with 5+ Units	MI	Owner	2010s	0	1	0	0	0	22	141256
100-150%	Multi-Family with 5+ Units	MI	Renter	2010s	0	1	0	0	0	11	105568
150-200%	Multi-Family with 5+ Units	MI	Not Available	2010s	0	0	1	0	0	11	105568
150-200%	Multi-Family with 5+ Units	MI	Owner	2010s	0	1	0	0	0	22	141256
150-200%	Multi-Family with 5+ Units	MI	Renter	2010s	0	1	0	0	0	11	105568
200-300%	Multi-Family with 5+ Units	MI	Not Available	2010s	0	0	1	1	760.639	25	222701
200-300%	Multi-Family with 5+ Units	MI	Owner	2010s	0	1	0	0	0	26	145768
200-300%	Multi-Family with 5+ Units	MI	Renter	2010s	0	1	0	1	760.639	25	222701
300-400%	Multi-Family with 5+ Units	MI	Not Available	2010s	0	0	1	1	8810.63	25	222701
300-400%	Multi-Family with 5+ Units	MI	Owner	2010s	0	1	0	0	0	26	145768
300-400%	Multi-Family with 5+ Units	MI	Renter	2010s	0	1	0	1	8810.63	25	222701
400%+	Multi-Family with 5+ Units	MI	Not Available	2010s	0	0	1	0	0	15	109162
400%+	Multi-Family with 5+ Units	MI	Owner	2010s	0	1	0	0	0	10	120620
400%+	Multi-Family with 5+ Units	MI	Renter	2010s	0	1	0	0	0	15	109162
Not Available	Multi-Family with 5+ Units	MI	Not Available	2010s	0	1	0	1	9571.27	26	236132
Not Available	Multi-Family with 5+ Units	MI	Owner	2010s	0	0	1	0	0	13	150459
Not Available	Multi-Family with 5+ Units	MI	Renter	2010s	0	0	1	1	9571.27	26	236132
0-100%	Multi-Family with 5+ Units	MI	Not Available	<1940	0	0	1	1	13759.8	22	249088
0-100%	Multi-Family with 5+ Units	MI	Owner	<1940	0	1	0	0	0	33	258986
0-100%	Multi-Family with 5+ Units	MI	Renter	<1940	0	1	0	1	13759.8	17	207113
100-150%	Multi-Family with 5+ Units	MI	Not Available	<1940	0	0	1	0	0	11	85468
100-150%	Multi-Family with 5+ Units	MI	Owner	<1940	0	1	0	0	0	33	258986
100-150%	Multi-Family with 5+ Units	MI	Renter	<1940	0	1	0	0	0	12	94336.7
150-200%	Multi-Family with 5+ Units	MI	Not Available	<1940	0	0	1	0	0	14	110392
150-200%	Multi-Family with 5+ Units	MI	Owner	<1940	0	1	0	0	0	33	258986
150-200%	Multi-Family with 5+ Units	MI	Renter	<1940	0	1	0	0	0	12	94336.7
200-300%	Multi-Family with 5+ Units	MI	Not Available	<1940	0	0	1	1	16244.4	11	86721.6
200-300%	Multi-Family with 5+ Units	MI	Owner	<1940	0	1	0	0	0	50	302717
200-300%	Multi-Family with 5+ Units	MI	Renter	<1940	0	1	0	1	16244.4	12	92045.9
300-400%	Multi-Family with 5+ Units	MI	Not Available	<1940	0	0	1	0	0	19	139763
300-400%	Multi-Family with 5+ Units	MI	Owner	<1940	0	1	0	0	0	50	302717
300-400%	Multi-Family with 5+ Units	MI	Renter	<1940	0	1	0	0	0	12	92045.9
400%+	Multi-Family with 5+ Units	MI	Not Available	<1940	0	0	1	1	10460	16	140178
400%+	Multi-Family with 5+ Units	MI	Owner	<1940	0	1	0	1	10460	12	121508
400%+	Multi-Family with 5+ Units	MI	Renter	<1940	0	1	0	0	0	11	91262.7
Not Available	Multi-Family with 5+ Units	MI	Not Available	<1940	0	1	0	3	40464.2	29	332329
Not Available	Multi-Family with 5+ Units	MI	Owner	<1940	0	0	1	1	10460	20	227255
Not Available	Multi-Family with 5+ Units	MI	Renter	<1940	0	0	1	2	30004.2	20	239190
0-100%	Multi-Family with 5+ Units	MN	Not Available	1940s	0	0	1	1	3139.63	23	33168.7
0-100%	Multi-Family with 5+ Units	MN	Owner	1940s	0	1	0	0	0	33	258986
0-100%	Multi-Family with 5+ Units	MN	Renter	1940s	0	1	0	1	3139.63	23	33168.7
100-150%	Multi-Family with 5+ Units	MN	Not Available	1940s	0	0	1	0	0	16	16703.8
100-150%	Multi-Family with 5+ Units	MN	Owner	1940s	0	1	0	0	0	33	258986
100-150%	Multi-Family with 5+ Units	MN	Renter	1940s	0	1	0	0	0	16	16703.8
150-200%	Multi-Family with 5+ Units	MN	Not Available	1940s	0	0	1	0	0	16	16703.8
150-200%	Multi-Family with 5+ Units	MN	Owner	1940s	0	1	0	0	0	33	258986
150-200%	Multi-Family with 5+ Units	MN	Renter	1940s	0	1	0	0	0	16	16703.8
200-300%	Multi-Family with 5+ Units	MN	Not Available	1940s	0	0	1	0	0	11	12014.7
200-300%	Multi-Family with 5+ Units	MN	Owner	1940s	0	1	0	0	0	50	302717
200-300%	Multi-Family with 5+ Units	MN	Renter	1940s	0	1	0	0	0	11	12014.7
300-400%	Multi-Family with 5+ Units	MN	Not Available	1940s	0	0	1	0	0	15	17015.7
300-400%	Multi-Family with 5+ Units	MN	Owner	1940s	0	1	0	0	0	50	302717
300-400%	Multi-Family with 5+ Units	MN	Renter	1940s	0	1	0	0	0	15	17015.7
400%+	Multi-Family with 5+ Units	MN	Not Available	1940s	0	0	1	0	0	38	442124
400%+	Multi-Family with 5+ Units	MN	Owner	1940s	0	1	0	0	0	18	226511
400%+	Multi-Family with 5+ Units	MN	Renter	1940s	0	1	0	0	0	20	215612
Not Available	Multi-Family with 5+ Units	MN	Not Available	1940s	0	1	0	1	3139.63	20	38637.3
Not Available	Multi-Family with 5+ Units	MN	Owner	1940s	0	0	1	0	0	28	404242
Not Available	Multi-Family with 5+ Units	MN	Renter	1940s	0	0	1	1	3139.63	19	34850.8
0-100%	Multi-Family with 5+ Units	MN	Not Available	1950s	0	0	1	1	9404.07	12	62283
0-100%	Multi-Family with 5+ Units	MN	Owner	1950s	0	1	0	0	0	33	258986
0-100%	Multi-Family with 5+ Units	MN	Renter	1950s	0	1	0	1	9404.07	10	61142
100-150%	Multi-Family with 5+ Units	MN	Not Available	1950s	0	0	1	0	0	12	62283
100-150%	Multi-Family with 5+ Units	MN	Owner	1950s	0	1	0	0	0	33	258986
100-150%	Multi-Family with 5+ Units	MN	Renter	1950s	0	1	0	0	0	10	61142
150-200%	Multi-Family with 5+ Units	MN	Not Available	1950s	0	0	1	0	0	12	62283
150-200%	Multi-Family with 5+ Units	MN	Owner	1950s	0	1	0	0	0	33	258986
150-200%	Multi-Family with 5+ Units	MN	Renter	1950s	0	1	0	0	0	10	61142
200-300%	Multi-Family with 5+ Units	MN	Not Available	1950s	0	0	1	0	0	22	31820.3
200-300%	Multi-Family with 5+ Units	MN	Owner	1950s	0	1	0	0	0	50	302717
200-300%	Multi-Family with 5+ Units	MN	Renter	1950s	0	1	0	0	0	22	31820.3
300-400%	Multi-Family with 5+ Units	MN	Not Available	1950s	0	0	1	0	0	22	31820.3
300-400%	Multi-Family with 5+ Units	MN	Owner	1950s	0	1	0	0	0	50	302717
300-400%	Multi-Family with 5+ Units	MN	Renter	1950s	0	1	0	0	0	22	31820.3
400%+	Multi-Family with 5+ Units	MN	Not Available	1950s	0	0	1	0	0	38	442124
400%+	Multi-Family with 5+ Units	MN	Owner	1950s	0	1	0	0	0	18	226511
400%+	Multi-Family with 5+ Units	MN	Renter	1950s	0	1	0	0	0	20	215612
Not Available	Multi-Family with 5+ Units	MN	Not Available	1950s	0	1	0	1	9404.07	10	65155.2
Not Available	Multi-Family with 5+ Units	MN	Owner	1950s	0	0	1	0	0	28	404242
Not Available	Multi-Family with 5+ Units	MN	Renter	1950s	0	0	1	1	9404.07	10	65155.2
0-100%	Multi-Family with 5+ Units	MN	Not Available	1960s	0	0	1	1	14127.8	28	95034.8
0-100%	Multi-Family with 5+ Units	MN	Owner	1960s	0	1	0	0	0	41	275268
0-100%	Multi-Family with 5+ Units	MN	Renter	1960s	0	1	0	1	14127.8	28	95034.8
100-150%	Multi-Family with 5+ Units	MN	Not Available	1960s	0	0	1	0	0	14	35999.3
100-150%	Multi-Family with 5+ Units	MN	Owner	1960s	0	1	0	0	0	41	275268
100-150%	Multi-Family with 5+ Units	MN	Renter	1960s	0	1	0	0	0	14	35999.3
150-200%	Multi-Family with 5+ Units	MN	Not Available	1960s	0	0	1	0	0	20	56238.9
150-200%	Multi-Family with 5+ Units	MN	Owner	1960s	0	1	0	0	0	41	275268
150-200%	Multi-Family with 5+ Units	MN	Renter	1960s	0	1	0	0	0	20	56238.9
200-300%	Multi-Family with 5+ Units	MN	Not Available	1960s	0	0	1	1	11716.6	30	158587
200-300%	Multi-Family with 5+ Units	MN	Owner	1960s	0	1	0	0	0	54	317767
200-300%	Multi-Family with 5+ Units	MN	Renter	1960s	0	1	0	1	11716.6	28	151404
300-400%	Multi-Family with 5+ Units	MN	Not Available	1960s	0	0	1	0	0	30	158587
300-400%	Multi-Family with 5+ Units	MN	Owner	1960s	0	1	0	0	0	54	317767
300-400%	Multi-Family with 5+ Units	MN	Renter	1960s	0	1	0	0	0	28	151404
400%+	Multi-Family with 5+ Units	MN	Not Available	1960s	0	0	1	0	0	13	79302.1
400%+	Multi-Family with 5+ Units	MN	Owner	1960s	0	1	0	0	0	11	101538
400%+	Multi-Family with 5+ Units	MN	Renter	1960s	0	1	0	0	0	10	59675.2
Not Available	Multi-Family with 5+ Units	MN	Not Available	1960s	0	1	0	2	25844.4	12	74395.5
Not Available	Multi-Family with 5+ Units	MN	Owner	1960s	0	0	1	0	0	20	185793
Not Available	Multi-Family with 5+ Units	MN	Renter	1960s	0	0	1	2	25844.4	12	74395.5
0-100%	Multi-Family with 5+ Units	MN	Not Available	1970s	0	0	1	3	31869.8	14	77500.1
0-100%	Multi-Family with 5+ Units	MN	Owner	1970s	0	1	0	0	0	41	275268
0-100%	Multi-Family with 5+ Units	MN	Renter	1970s	0	1	0	3	31869.8	13	76236
100-150%	Multi-Family with 5+ Units	MN	Not Available	1970s	0	0	1	4	13439.4	14	36372.2
100-150%	Multi-Family with 5+ Units	MN	Owner	1970s	0	1	0	1	6809.65	41	275268
100-150%	Multi-Family with 5+ Units	MN	Renter	1970s	0	1	0	3	6629.8	13	29562.6
150-200%	Multi-Family with 5+ Units	MN	Not Available	1970s	0	0	1	2	8538.91	22	66383.8
150-200%	Multi-Family with 5+ Units	MN	Owner	1970s	0	1	0	1	1988.76	41	275268
150-200%	Multi-Family with 5+ Units	MN	Renter	1970s	0	1	0	1	6550.15	20	57585.4
200-300%	Multi-Family with 5+ Units	MN	Not Available	1970s	0	0	1	0	0	10	36099.9
200-300%	Multi-Family with 5+ Units	MN	Owner	1970s	0	1	0	0	0	54	317767
200-300%	Multi-Family with 5+ Units	MN	Renter	1970s	0	1	0	0	0	13	51782.8
300-400%	Multi-Family with 5+ Units	MN	Not Available	1970s	0	0	1	1	5628.32	21	80571.6
300-400%	Multi-Family with 5+ Units	MN	Owner	1970s	0	1	0	0	0	54	317767
300-400%	Multi-Family with 5+ Units	MN	Renter	1970s	0	1	0	1	5628.32	19	73387.8
400%+	Multi-Family with 5+ Units	MN	Not Available	1970s	0	0	1	5	43553.8	11	72795.2
400%+	Multi-Family with 5+ Units	MN	Owner	1970s	0	1	0	2	18193.5	11	101538
400%+	Multi-Family with 5+ Units	MN	Renter	1970s	0	1	0	3	25360.3	10	59675.2
Not Available	Multi-Family with 5+ Units	MN	Not Available	1970s	0	1	0	10	103030	10	103030
Not Available	Multi-Family with 5+ Units	MN	Owner	1970s	0	0	1	3	26991.9	20	185793
Not Available	Multi-Family with 5+ Units	MN	Renter	1970s	0	0	1	7	76038.4	33	203568
0-100%	Multi-Family with 5+ Units	MN	Not Available	1980s	0	0	1	1	8266.17	29	148944
0-100%	Multi-Family with 5+ Units	MN	Owner	1980s	0	1	0	0	0	24	204181
0-100%	Multi-Family with 5+ Units	MN	Renter	1980s	0	1	0	1	8266.17	27	127510
100-150%	Multi-Family with 5+ Units	MN	Not Available	1980s	0	0	1	1	8485.5	10	43993.4
100-150%	Multi-Family with 5+ Units	MN	Owner	1980s	0	1	0	0	0	24	204181
100-150%	Multi-Family with 5+ Units	MN	Renter	1980s	0	1	0	1	8485.5	10	43993.4
150-200%	Multi-Family with 5+ Units	MN	Not Available	1980s	0	0	1	1	14901.3	11	55031.8
150-200%	Multi-Family with 5+ Units	MN	Owner	1980s	0	1	0	1	14901.3	24	204181
150-200%	Multi-Family with 5+ Units	MN	Renter	1980s	0	1	0	0	0	19	77591.7
200-300%	Multi-Family with 5+ Units	MN	Not Available	1980s	0	0	1	2	9715.47	11	48184.9
200-300%	Multi-Family with 5+ Units	MN	Owner	1980s	0	1	0	1	21.5393	10	84575.6
200-300%	Multi-Family with 5+ Units	MN	Renter	1980s	0	1	0	1	9693.94	10	48163.3
300-400%	Multi-Family with 5+ Units	MN	Not Available	1980s	0	0	1	1	3721.27	10	49883.5
300-400%	Multi-Family with 5+ Units	MN	Owner	1980s	0	1	0	0	0	10	84575.6
300-400%	Multi-Family with 5+ Units	MN	Renter	1980s	0	1	0	1	3721.27	10	37040.9
400%+	Multi-Family with 5+ Units	MN	Not Available	1980s	0	0	1	4	37216.4	16	91973.5
400%+	Multi-Family with 5+ Units	MN	Owner	1980s	0	1	0	0	0	58	528767
400%+	Multi-Family with 5+ Units	MN	Renter	1980s	0	1	0	4	37216.4	13	90510.1
Not Available	Multi-Family with 5+ Units	MN	Not Available	1980s	0	1	0	8	82306.1	38	302505
Not Available	Multi-Family with 5+ Units	MN	Owner	1980s	0	0	1	1	14922.9	14	169515
Not Available	Multi-Family with 5+ Units	MN	Renter	1980s	0	0	1	7	67383.3	34	267794
0-100%	Multi-Family with 5+ Units	MN	Not Available	1990s	0	0	1	0	0	18	73161.8
0-100%	Multi-Family with 5+ Units	MN	Owner	1990s	0	1	0	0	0	24	204181
0-100%	Multi-Family with 5+ Units	MN	Renter	1990s	0	1	0	0	0	17	71656.3
100-150%	Multi-Family with 5+ Units	MN	Not Available	1990s	0	0	1	0	0	18	73161.8
100-150%	Multi-Family with 5+ Units	MN	Owner	1990s	0	1	0	0	0	24	204181
100-150%	Multi-Family with 5+ Units	MN	Renter	1990s	0	1	0	0	0	17	71656.3
150-200%	Multi-Family with 5+ Units	MN	Not Available	1990s	0	0	1	1	11239	18	73161.8
150-200%	Multi-Family with 5+ Units	MN	Owner	1990s	0	1	0	0	0	24	204181
150-200%	Multi-Family with 5+ Units	MN	Renter	1990s	0	1	0	1	11239	17	71656.3
200-300%	Multi-Family with 5+ Units	MN	Not Available	1990s	0	0	1	1	16.2456	33	153897
200-300%	Multi-Family with 5+ Units	MN	Owner	1990s	0	1	0	0	0	10	84575.6
200-300%	Multi-Family with 5+ Units	MN	Renter	1990s	0	1	0	1	16.2456	29	135524
300-400%	Multi-Family with 5+ Units	MN	Not Available	1990s	0	0	1	2	20137.5	33	153897
300-400%	Multi-Family with 5+ Units	MN	Owner	1990s	0	1	0	0	0	10	84575.6
300-400%	Multi-Family with 5+ Units	MN	Renter	1990s	0	1	0	2	20137.5	29	135524
400%+	Multi-Family with 5+ Units	MN	Not Available	1990s	0	0	1	3	24225.2	22	121112
400%+	Multi-Family with 5+ Units	MN	Owner	1990s	0	1	0	0	0	58	528767
400%+	Multi-Family with 5+ Units	MN	Renter	1990s	0	1	0	3	24225.2	19	119648
Not Available	Multi-Family with 5+ Units	MN	Not Available	1990s	0	1	0	4	55618	17	115039
Not Available	Multi-Family with 5+ Units	MN	Owner	1990s	0	0	1	0	0	14	169515
Not Available	Multi-Family with 5+ Units	MN	Renter	1990s	0	0	1	4	55618	16	113533
0-100%	Multi-Family with 5+ Units	MN	Not Available	2000s	0	0	1	1	9325.93	20	70250.4
0-100%	Multi-Family with 5+ Units	MN	Owner	2000s	0	1	0	0	0	22	141256
0-100%	Multi-Family with 5+ Units	MN	Renter	2000s	0	1	0	1	9325.93	20	70250.4
100-150%	Multi-Family with 5+ Units	MN	Not Available	2000s	0	0	1	0	0	11	19419.3
100-150%	Multi-Family with 5+ Units	MN	Owner	2000s	0	1	0	0	0	22	141256
100-150%	Multi-Family with 5+ Units	MN	Renter	2000s	0	1	0	0	0	11	19419.3
150-200%	Multi-Family with 5+ Units	MN	Not Available	2000s	0	0	1	0	0	11	19419.3
150-200%	Multi-Family with 5+ Units	MN	Owner	2000s	0	1	0	0	0	22	141256
150-200%	Multi-Family with 5+ Units	MN	Renter	2000s	0	1	0	0	0	11	19419.3
200-300%	Multi-Family with 5+ Units	MN	Not Available	2000s	0	0	1	0	0	11	34849.4
200-300%	Multi-Family with 5+ Units	MN	Owner	2000s	0	1	0	0	0	26	145768
200-300%	Multi-Family with 5+ Units	MN	Renter	2000s	0	1	0	0	0	10	28439.9
300-400%	Multi-Family with 5+ Units	MN	Not Available	2000s	0	0	1	1	3343.42	10	39424.2
300-400%	Multi-Family with 5+ Units	MN	Owner	2000s	0	1	0	0	0	26	145768
300-400%	Multi-Family with 5+ Units	MN	Renter	2000s	0	1	0	1	3343.42	19	65346.6
400%+	Multi-Family with 5+ Units	MN	Not Available	2000s	0	0	1	1	4746.62	13	42992.5
400%+	Multi-Family with 5+ Units	MN	Owner	2000s	0	1	0	0	0	14	136178
400%+	Multi-Family with 5+ Units	MN	Renter	2000s	0	1	0	1	4746.62	11	32815
Not Available	Multi-Family with 5+ Units	MN	Not Available	2000s	0	1	0	2	17416	29	146016
Not Available	Multi-Family with 5+ Units	MN	Owner	2000s	0	0	1	0	0	18	177044
Not Available	Multi-Family with 5+ Units	MN	Renter	2000s	0	0	1	2	17416	26	126912
0-100%	Multi-Family with 5+ Units	MN	Not Available	2010s	0	0	1	1	10402.5	12	29249.1
0-100%	Multi-Family with 5+ Units	MN	Owner	2010s	0	1	0	0	0	22	141256
0-100%	Multi-Family with 5+ Units	MN	Renter	2010s	0	1	0	1	10402.5	12	29249.1
100-150%	Multi-Family with 5+ Units	MN	Not Available	2010s	0	0	1	0	0	12	29249.1
100-150%	Multi-Family with 5+ Units	MN	Owner	2010s	0	1	0	0	0	22	141256
100-150%	Multi-Family with 5+ Units	MN	Renter	2010s	0	1	0	0	0	12	29249.1
150-200%	Multi-Family with 5+ Units	MN	Not Available	2010s	0	0	1	0	0	12	29249.1
150-200%	Multi-Family with 5+ Units	MN	Owner	2010s	0	1	0	0	0	22	141256
150-200%	Multi-Family with 5+ Units	MN	Renter	2010s	0	1	0	0	0	12	29249.1
200-300%	Multi-Family with 5+ Units	MN	Not Available	2010s	0	0	1	2	17190.5	13	35002.2
200-300%	Multi-Family with 5+ Units	MN	Owner	2010s	0	1	0	0	0	26	145768
200-300%	Multi-Family with 5+ Units	MN	Renter	2010s	0	1	0	2	17190.5	13	35002.2
300-400%	Multi-Family with 5+ Units	MN	Not Available	2010s	0	0	1	1	10311.5	11	28087.9
300-400%	Multi-Family with 5+ Units	MN	Owner	2010s	0	1	0	0	0	26	145768
300-400%	Multi-Family with 5+ Units	MN	Renter	2010s	0	1	0	1	10311.5	10	25987.8
400%+	Multi-Family with 5+ Units	MN	Not Available	2010s	0	0	1	5	36467.6	19	96621.6
400%+	Multi-Family with 5+ Units	MN	Owner	2010s	0	1	0	0	0	14	136178
400%+	Multi-Family with 5+ Units	MN	Renter	2010s	0	1	0	5	36467.6	19	96621.6
Not Available	Multi-Family with 5+ Units	MN	Not Available	2010s	0	1	0	8	74372.1	37	182621
Not Available	Multi-Family with 5+ Units	MN	Owner	2010s	0	0	1	0	0	18	177044
Not Available	Multi-Family with 5+ Units	MN	Renter	2010s	0	0	1	8	74372.1	37	182621
0-100%	Multi-Family with 5+ Units	MN	Not Available	<1940	0	0	1	1	8113.53	23	85715.6
0-100%	Multi-Family with 5+ Units	MN	Owner	<1940	0	1	0	0	0	33	258986
0-100%	Multi-Family with 5+ Units	MN	Renter	<1940	0	1	0	1	8113.53	23	85715.6
100-150%	Multi-Family with 5+ Units	MN	Not Available	<1940	0	0	1	0	0	16	43166.4
100-150%	Multi-Family with 5+ Units	MN	Owner	<1940	0	1	0	0	0	33	258986
100-150%	Multi-Family with 5+ Units	MN	Renter	<1940	0	1	0	0	0	16	43166.4
150-200%	Multi-Family with 5+ Units	MN	Not Available	<1940	0	0	1	0	0	16	43166.4
150-200%	Multi-Family with 5+ Units	MN	Owner	<1940	0	1	0	0	0	33	258986
150-200%	Multi-Family with 5+ Units	MN	Renter	<1940	0	1	0	0	0	16	43166.4
200-300%	Multi-Family with 5+ Units	MN	Not Available	<1940	0	0	1	0	0	11	31048.7
200-300%	Multi-Family with 5+ Units	MN	Owner	<1940	0	1	0	0	0	50	302717
200-300%	Multi-Family with 5+ Units	MN	Renter	<1940	0	1	0	0	0	11	31048.7
300-400%	Multi-Family with 5+ Units	MN	Not Available	<1940	0	0	1	0	0	15	43972.5
300-400%	Multi-Family with 5+ Units	MN	Owner	<1940	0	1	0	0	0	50	302717
300-400%	Multi-Family with 5+ Units	MN	Renter	<1940	0	1	0	0	0	15	43972.5
400%+	Multi-Family with 5+ Units	MN	Not Available	<1940	0	0	1	0	0	38	442124
400%+	Multi-Family with 5+ Units	MN	Owner	<1940	0	1	0	0	0	18	226511
400%+	Multi-Family with 5+ Units	MN	Renter	<1940	0	1	0	0	0	20	215612
Not Available	Multi-Family with 5+ Units	MN	Not Available	<1940	0	1	0	1	8113.53	20	99847.5
Not Available	Multi-Family with 5+ Units	MN	Owner	<1940	0	0	1	0	0	28	404242
Not Available	Multi-Family with 5+ Units	MN	Renter	<1940	0	0	1	1	8113.53	19	90062.4
0-100%	Multi-Family with 5+ Units	MO	Not Available	1940s	0	0	1	0	0	23	33168.7
0-100%	Multi-Family with 5+ Units	MO	Owner	1940s	0	1	0	0	0	33	258986
0-100%	Multi-Family with 5+ Units	MO	Renter	1940s	0	1	0	0	0	23	33168.7
100-150%	Multi-Family with 5+ Units	MO	Not Available	1940s	0	0	1	0	0	16	16703.8
100-150%	Multi-Family with 5+ Units	MO	Owner	1940s	0	1	0	0	0	33	258986
100-150%	Multi-Family with 5+ Units	MO	Renter	1940s	0	1	0	0	0	16	16703.8
150-200%	Multi-Family with 5+ Units	MO	Not Available	1940s	0	0	1	0	0	16	16703.8
150-200%	Multi-Family with 5+ Units	MO	Owner	1940s	0	1	0	0	0	33	258986
150-200%	Multi-Family with 5+ Units	MO	Renter	1940s	0	1	0	0	0	16	16703.8
200-300%	Multi-Family with 5+ Units	MO	Not Available	1940s	0	0	1	1	3564.11	11	12014.7
200-300%	Multi-Family with 5+ Units	MO	Owner	1940s	0	1	0	0	0	50	302717
200-300%	Multi-Family with 5+ Units	MO	Renter	1940s	0	1	0	1	3564.11	11	12014.7
300-400%	Multi-Family with 5+ Units	MO	Not Available	1940s	0	0	1	0	0	15	17015.7
300-400%	Multi-Family with 5+ Units	MO	Owner	1940s	0	1	0	0	0	50	302717
300-400%	Multi-Family with 5+ Units	MO	Renter	1940s	0	1	0	0	0	15	17015.7
400%+	Multi-Family with 5+ Units	MO	Not Available	1940s	0	0	1	1	3786.47	38	442124
400%+	Multi-Family with 5+ Units	MO	Owner	1940s	0	1	0	1	3786.47	18	226511
400%+	Multi-Family with 5+ Units	MO	Renter	1940s	0	1	0	0	0	20	215612
Not Available	Multi-Family with 5+ Units	MO	Not Available	1940s	0	1	0	2	7350.58	20	38637.3
Not Available	Multi-Family with 5+ Units	MO	Owner	1940s	0	0	1	1	3786.47	28	404242
Not Available	Multi-Family with 5+ Units	MO	Renter	1940s	0	0	1	1	3564.11	19	34850.8
0-100%	Multi-Family with 5+ Units	MO	Not Available	1950s	0	0	1	1	13051.1	12	62283
0-100%	Multi-Family with 5+ Units	MO	Owner	1950s	0	1	0	0	0	33	258986
0-100%	Multi-Family with 5+ Units	MO	Renter	1950s	0	1	0	1	13051.1	10	61142
100-150%	Multi-Family with 5+ Units	MO	Not Available	1950s	0	0	1	0	0	12	62283
100-150%	Multi-Family with 5+ Units	MO	Owner	1950s	0	1	0	0	0	33	258986
100-150%	Multi-Family with 5+ Units	MO	Renter	1950s	0	1	0	0	0	10	61142
150-200%	Multi-Family with 5+ Units	MO	Not Available	1950s	0	0	1	0	0	12	62283
150-200%	Multi-Family with 5+ Units	MO	Owner	1950s	0	1	0	0	0	33	258986
150-200%	Multi-Family with 5+ Units	MO	Renter	1950s	0	1	0	0	0	10	61142
200-300%	Multi-Family with 5+ Units	MO	Not Available	1950s	0	0	1	0	0	22	31820.3
200-300%	Multi-Family with 5+ Units	MO	Owner	1950s	0	1	0	0	0	50	302717
200-300%	Multi-Family with 5+ Units	MO	Renter	1950s	0	1	0	0	0	22	31820.3
300-400%	Multi-Family with 5+ Units	MO	Not Available	1950s	0	0	1	0	0	22	31820.3
300-400%	Multi-Family with 5+ Units	MO	Owner	1950s	0	1	0	0	0	50	302717
300-400%	Multi-Family with 5+ Units	MO	Renter	1950s	0	1	0	0	0	22	31820.3
400%+	Multi-Family with 5+ Units	MO	Not Available	1950s	0	0	1	0	0	38	442124
400%+	Multi-Family with 5+ Units	MO	Owner	1950s	0	1	0	0	0	18	226511
400%+	Multi-Family with 5+ Units	MO	Renter	1950s	0	1	0	0	0	20	215612
Not Available	Multi-Family with 5+ Units	MO	Not Available	1950s	0	1	0	1	13051.1	10	65155.2
Not Available	Multi-Family with 5+ Units	MO	Owner	1950s	0	0	1	0	0	28	404242
Not Available	Multi-Family with 5+ Units	MO	Renter	1950s	0	0	1	1	13051.1	10	65155.2
0-100%	Multi-Family with 5+ Units	MO	Not Available	1960s	0	0	1	0	0	28	95034.8
0-100%	Multi-Family with 5+ Units	MO	Owner	1960s	0	1	0	0	0	41	275268
0-100%	Multi-Family with 5+ Units	MO	Renter	1960s	0	1	0	0	0	28	95034.8
100-150%	Multi-Family with 5+ Units	MO	Not Available	1960s	0	0	1	0	0	14	35999.3
100-150%	Multi-Family with 5+ Units	MO	Owner	1960s	0	1	0	0	0	41	275268
100-150%	Multi-Family with 5+ Units	MO	Renter	1960s	0	1	0	0	0	14	35999.3
150-200%	Multi-Family with 5+ Units	MO	Not Available	1960s	0	0	1	0	0	20	56238.9
150-200%	Multi-Family with 5+ Units	MO	Owner	1960s	0	1	0	0	0	41	275268
150-200%	Multi-Family with 5+ Units	MO	Renter	1960s	0	1	0	0	0	20	56238.9
200-300%	Multi-Family with 5+ Units	MO	Not Available	1960s	0	0	1	0	0	30	158587
