Dependency=Electric Vehicle Charger	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=No	Option=Yes	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Level 2 charger	200-300%	Mobile Home	Owner	1960-79	0	1	0	1.56366e-18	9.81405e-19	1.76693	6832.29
Level 2 charger	200-300%	Mobile Home	Owner	1980-99	0	1	0	1.56366e-18	9.81405e-19	1.76693	6832.29
Level 2 charger	200-300%	Mobile Home	Owner	2000-09	0	1	0	0.0156366	97.6509	1.76693	6832.29
Level 2 charger	200-300%	Mobile Home	Owner	2010s	0	1	0	1.56366e-18	9.81405e-19	1.76693	6832.29
Level 2 charger	200-300%	Mobile Home	Owner	<1940	0	1	0	1.56366e-18	9.81405e-19	1.76693	6832.29
Level 2 charger	200-300%	Mobile Home	Renter	1940-59	0	1	0	5.44576e-20	3.93567e-20	0.0615371	273.991
Level 2 charger	200-300%	Mobile Home	Renter	1960-79	0	1	0	5.44576e-20	3.93567e-20	0.0615371	273.991
Level 2 charger	200-300%	Mobile Home	Renter	1980-99	0	1	0	5.44576e-20	3.93567e-20	0.0615371	273.991
Level 2 charger	200-300%	Mobile Home	Renter	2000-09	0	1	0	0.000544576	3.91603	0.0615371	273.991
Level 2 charger	200-300%	Mobile Home	Renter	2010s	0	1	0	5.44576e-20	3.93567e-20	0.0615371	273.991
Level 2 charger	200-300%	Mobile Home	Renter	<1940	0	1	0	5.44576e-20	3.93567e-20	0.0615371	273.991
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	1	0.0188174	48.077	0.0376348	332.698
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	1	1.88174e-18	1.17861e-18	0.0376348	332.698
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	1	1.88174e-18	1.17861e-18	0.0376348	332.698
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	1	1.88174e-18	1.17861e-18	0.0376348	332.698
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	1	1.88174e-18	1.17861e-18	0.0376348	332.698
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	1	0.0188174	124.242	0.0376348	332.698
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Owner	1940-59	0	1	0	0.000341918	0.993598	0.000683837	6.87581
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Owner	1960-79	0	1	0	3.41918e-20	2.43582e-20	0.000683837	6.87581
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Owner	1980-99	0	1	0	3.41918e-20	2.43582e-20	0.000683837	6.87581
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Owner	2000-09	0	1	0	3.41918e-20	2.43582e-20	0.000683837	6.87581
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Owner	2010s	0	1	0	3.41918e-20	2.43582e-20	0.000683837	6.87581
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Owner	<1940	0	1	0	0.000341918	2.56769	0.000683837	6.87581
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Renter	1940-59	0	1	0	0.0140757	35.2476	0.0281514	243.917
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Renter	1960-79	0	1	0	1.40757e-18	8.64099e-19	0.0281514	243.917
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Renter	1980-99	0	1	0	1.40757e-18	8.64099e-19	0.0281514	243.917
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Renter	2000-09	0	1	0	1.40757e-18	8.64099e-19	0.0281514	243.917
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Renter	2010s	0	1	0	1.40757e-18	8.64099e-19	0.0281514	243.917
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	Renter	<1940	0	1	0	0.0140757	91.0878	0.0281514	243.917
Level 2 charger	200-300%	Multi-Family with 5+ Units	Not Available	1940-59	0	0	1	1.54474e-18	9.90916e-19	0.0308949	279.715
Level 2 charger	200-300%	Multi-Family with 5+ Units	Not Available	1960-79	0	0	1	0.0154474	134.838	0.0308949	279.715
Level 2 charger	200-300%	Multi-Family with 5+ Units	Not Available	1980-99	0	0	1	1.54474e-18	9.90916e-19	0.0308949	279.715
Level 2 charger	200-300%	Multi-Family with 5+ Units	Not Available	2000-09	0	0	1	1.54474e-18	9.90916e-19	0.0308949	279.715
Level 2 charger	200-300%	Multi-Family with 5+ Units	Not Available	2010s	0	0	1	1.54474e-18	9.90916e-19	0.0308949	279.715
Level 2 charger	200-300%	Multi-Family with 5+ Units	Not Available	<1940	0	0	1	1.54474e-18	9.90916e-19	0.0308949	279.715
Level 2 charger	200-300%	Multi-Family with 5+ Units	Owner	1940-59	0	1	0	2.30574e-20	1.38885e-20	0.000461148	3.92044
Level 2 charger	200-300%	Multi-Family with 5+ Units	Owner	1960-79	0	1	0	0.000230574	1.88987	0.000461148	3.92044
Level 2 charger	200-300%	Multi-Family with 5+ Units	Owner	1980-99	0	1	0	2.30574e-20	1.38885e-20	0.000461148	3.92044
Level 2 charger	200-300%	Multi-Family with 5+ Units	Owner	2000-09	0	1	0	2.30574e-20	1.38885e-20	0.000461148	3.92044
Level 2 charger	200-300%	Multi-Family with 5+ Units	Owner	2010s	0	1	0	2.30574e-20	1.38885e-20	0.000461148	3.92044
Level 2 charger	200-300%	Multi-Family with 5+ Units	Owner	<1940	0	1	0	2.30574e-20	1.38885e-20	0.000461148	3.92044
Level 2 charger	200-300%	Multi-Family with 5+ Units	Renter	1940-59	0	1	0	1.19016e-18	7.70178e-19	0.0238032	217.405
Level 2 charger	200-300%	Multi-Family with 5+ Units	Renter	1960-79	0	1	0	0.0119016	104.802	0.0238032	217.405
Level 2 charger	200-300%	Multi-Family with 5+ Units	Renter	1980-99	0	1	0	1.19016e-18	7.70178e-19	0.0238032	217.405
Level 2 charger	200-300%	Multi-Family with 5+ Units	Renter	2000-09	0	1	0	1.19016e-18	7.70178e-19	0.0238032	217.405
Level 2 charger	200-300%	Multi-Family with 5+ Units	Renter	2010s	0	1	0	1.19016e-18	7.70178e-19	0.0238032	217.405
Level 2 charger	200-300%	Multi-Family with 5+ Units	Renter	<1940	0	1	0	1.19016e-18	7.70178e-19	0.0238032	217.405
Level 2 charger	200-300%	Single-Family Attached	Not Available	1940-59	0	0	1	1.83199e-18	1.1955e-18	2.07015	8322.79
Level 2 charger	200-300%	Single-Family Attached	Not Available	1960-79	0	0	1	0.0732797	196.831	2.07015	8322.79
Level 2 charger	200-300%	Single-Family Attached	Not Available	1980-99	0	0	1	1.83199e-18	1.1955e-18	2.07015	8322.79
Level 2 charger	200-300%	Single-Family Attached	Not Available	2000-09	0	0	1	0.0183199	50.4767	2.07015	8322.79
Level 2 charger	200-300%	Single-Family Attached	Not Available	2010s	0	0	1	0.0183199	60.0841	2.07015	8322.79
Level 2 charger	200-300%	Single-Family Attached	Not Available	<1940	0	0	1	1.83199e-18	1.1955e-18	2.07015	8322.79
Level 2 charger	200-300%	Single-Family Attached	Owner	1940-59	0	1	0	6.74032e-19	4.19311e-19	0.761656	2919.14
Level 2 charger	200-300%	Single-Family Attached	Owner	1960-79	0	1	0	0.0269613	69.0366	0.761656	2919.14
Level 2 charger	200-300%	Single-Family Attached	Owner	1980-99	0	1	0	6.74032e-19	4.19311e-19	0.761656	2919.14
Level 2 charger	200-300%	Single-Family Attached	Owner	2000-09	0	1	0	0.00674032	17.7042	0.761656	2919.14
Level 2 charger	200-300%	Single-Family Attached	Owner	2010s	0	1	0	0.00674032	21.0739	0.761656	2919.14
Level 2 charger	200-300%	Single-Family Attached	Owner	<1940	0	1	0	6.74032e-19	4.19311e-19	0.761656	2919.14
Level 2 charger	200-300%	Single-Family Attached	Renter	1940-59	0	1	0	2.82938e-19	1.98781e-19	0.31972	1383.86
Level 2 charger	200-300%	Single-Family Attached	Renter	1960-79	0	1	0	0.0113175	32.7279	0.31972	1383.86
Level 2 charger	200-300%	Single-Family Attached	Renter	1980-99	0	1	0	2.82938e-19	1.98781e-19	0.31972	1383.86
Level 2 charger	200-300%	Single-Family Attached	Renter	2000-09	0	1	0	0.00282938	8.39295	0.31972	1383.86
Level 2 charger	200-300%	Single-Family Attached	Renter	2010s	0	1	0	0.00282938	9.99041	0.31972	1383.86
Level 2 charger	200-300%	Single-Family Attached	Renter	<1940	0	1	0	2.82938e-19	1.98781e-19	0.31972	1383.86
Level 2 charger	200-300%	Single-Family Detached	Not Available	1940-59	0	0	1	0.344878	1121.61	0.344878	1121.61
Level 2 charger	200-300%	Single-Family Detached	Not Available	1960-79	0	0	1	0.312033	1304.31	0.312033	1304.31
Level 2 charger	200-300%	Single-Family Detached	Not Available	1980-99	0	0	1	0.41057	1511.06	0.41057	1511.06
Level 2 charger	200-300%	Single-Family Detached	Not Available	2000-09	0	0	1	0.344878	1399.59	0.344878	1399.59
Level 2 charger	200-300%	Single-Family Detached	Not Available	2010s	0	0	1	0.328456	1184.46	0.328456	1184.46
Level 2 charger	200-300%	Single-Family Detached	Not Available	<1940	0	0	1	0.164228	518.539	0.164228	518.539
Level 2 charger	200-300%	Single-Family Detached	Owner	1940-59	0	1	0	0.266192	846.269	0.266192	846.269
Level 2 charger	200-300%	Single-Family Detached	Owner	1960-79	0	1	0	0.24084	984.118	0.24084	984.118
Level 2 charger	200-300%	Single-Family Detached	Owner	1980-99	0	1	0	0.316895	1140.11	0.316895	1140.11
Level 2 charger	200-300%	Single-Family Detached	Owner	2000-09	0	1	0	0.266192	1056.01	0.266192	1056.01
Level 2 charger	200-300%	Single-Family Detached	Owner	2010s	0	1	0	0.253516	893.688	0.253516	893.688
Level 2 charger	200-300%	Single-Family Detached	Owner	<1940	0	1	0	0.126758	391.244	0.126758	391.244
Level 2 charger	200-300%	Single-Family Detached	Renter	1940-59	0	1	0	0.00504831	19.3579	0.00504831	19.3579
Level 2 charger	200-300%	Single-Family Detached	Renter	1960-79	0	1	0	0.00456752	22.5111	0.00456752	22.5111
Level 2 charger	200-300%	Single-Family Detached	Renter	1980-99	0	1	0	0.0060099	26.0793	0.0060099	26.0793
Level 2 charger	200-300%	Single-Family Detached	Renter	2000-09	0	1	0	0.00504831	24.1556	0.00504831	24.1556
Level 2 charger	200-300%	Single-Family Detached	Renter	2010s	0	1	0	0.00480792	20.4426	0.00480792	20.4426
Level 2 charger	200-300%	Single-Family Detached	Renter	<1940	0	1	0	0.00240396	8.94947	0.00240396	8.94947
Level 2 charger	300-400%	Mobile Home	Not Available	1940-59	0	0	1	5.47231e-19	3.76249e-19	0.618371	2619.35
Level 2 charger	300-400%	Mobile Home	Not Available	1960-79	0	0	1	5.47231e-19	3.76249e-19	0.618371	2619.35
Level 2 charger	300-400%	Mobile Home	Not Available	1980-99	0	0	1	5.47231e-19	3.76249e-19	0.618371	2619.35
Level 2 charger	300-400%	Mobile Home	Not Available	2000-09	0	0	1	0.00547231	37.4372	0.618371	2619.35
Level 2 charger	300-400%	Mobile Home	Not Available	2010s	0	0	1	5.47231e-19	3.76249e-19	0.618371	2619.35
Level 2 charger	300-400%	Mobile Home	Not Available	<1940	0	0	1	5.47231e-19	3.76249e-19	0.618371	2619.35
Level 2 charger	300-400%	Mobile Home	Owner	1940-59	0	1	0	4.39512e-19	3.10147e-19	0.496649	2159.17
Level 2 charger	300-400%	Mobile Home	Owner	1960-79	0	1	0	4.39512e-19	3.10147e-19	0.496649	2159.17
Level 2 charger	300-400%	Mobile Home	Owner	1980-99	0	1	0	4.39512e-19	3.10147e-19	0.496649	2159.17
Level 2 charger	300-400%	Mobile Home	Owner	2000-09	0	1	0	0.00439512	30.86	0.496649	2159.17
Level 2 charger	300-400%	Mobile Home	Owner	2010s	0	1	0	4.39512e-19	3.10147e-19	0.496649	2159.17
Level 2 charger	300-400%	Mobile Home	Owner	<1940	0	1	0	4.39512e-19	3.10147e-19	0.496649	2159.17
Level 2 charger	300-400%	Mobile Home	Renter	1940-59	0	1	0	5.81429e-21	3.1903e-21	0.00657014	22.2101
Level 2 charger	300-400%	Mobile Home	Renter	1960-79	0	1	0	5.81429e-21	3.1903e-21	0.00657014	22.2101
Level 2 charger	300-400%	Mobile Home	Renter	1980-99	0	1	0	5.81429e-21	3.1903e-21	0.00657014	22.2101
Level 2 charger	300-400%	Mobile Home	Renter	2000-09	0	1	0	5.81429e-05	0.317439	0.00657014	22.2101
Level 2 charger	300-400%	Mobile Home	Renter	2010s	0	1	0	5.81429e-21	3.1903e-21	0.00657014	22.2101
Level 2 charger	300-400%	Mobile Home	Renter	<1940	0	1	0	5.81429e-21	3.1903e-21	0.00657014	22.2101
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	1	0.00774232	19.9071	0.0154846	137.76
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	1	7.74232e-19	4.88026e-19	0.0154846	137.76
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	1	7.74232e-19	4.88026e-19	0.0154846	137.76
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	1	7.74232e-19	4.88026e-19	0.0154846	137.76
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	1	7.74232e-19	4.88026e-19	0.0154846	137.76
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	1	0.00774232	51.4446	0.0154846	137.76
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Owner	1940-59	0	1	0	0.000178498	0.399276	0.000356995	2.76303
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Owner	1960-79	0	1	0	1.78498e-20	9.78831e-21	0.000356995	2.76303
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Owner	1980-99	0	1	0	1.78498e-20	9.78831e-21	0.000356995	2.76303
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Owner	2000-09	0	1	0	1.78498e-20	9.78831e-21	0.000356995	2.76303
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Owner	2010s	0	1	0	1.78498e-20	9.78831e-21	0.000356995	2.76303
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Owner	<1940	0	1	0	0.000178498	1.03182	0.000356995	2.76303
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Renter	1940-59	0	1	0	0.00556395	14.6678	0.0111279	101.503
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Renter	1960-79	0	1	0	5.56395e-19	3.59584e-19	0.0111279	101.503
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Renter	1980-99	0	1	0	5.56395e-19	3.59584e-19	0.0111279	101.503
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Renter	2000-09	0	1	0	5.56395e-19	3.59584e-19	0.0111279	101.503
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Renter	2010s	0	1	0	5.56395e-19	3.59584e-19	0.0111279	101.503
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	Renter	<1940	0	1	0	0.00556395	37.905	0.0111279	101.503
Level 2 charger	300-400%	Multi-Family with 5+ Units	Not Available	1940-59	0	0	1	7.7427e-19	5.87197e-19	0.0154854	165.753
Level 2 charger	300-400%	Multi-Family with 5+ Units	Not Available	1960-79	0	0	1	0.0077427	79.9024	0.0154854	165.753
Level 2 charger	300-400%	Multi-Family with 5+ Units	Not Available	1980-99	0	0	1	7.7427e-19	5.87197e-19	0.0154854	165.753
Level 2 charger	300-400%	Multi-Family with 5+ Units	Not Available	2000-09	0	0	1	7.7427e-19	5.87197e-19	0.0154854	165.753
Level 2 charger	300-400%	Multi-Family with 5+ Units	Not Available	2010s	0	0	1	7.7427e-19	5.87197e-19	0.0154854	165.753
Level 2 charger	300-400%	Multi-Family with 5+ Units	Not Available	<1940	0	0	1	7.7427e-19	5.87197e-19	0.0154854	165.753
Level 2 charger	300-400%	Multi-Family with 5+ Units	Owner	1940-59	0	1	0	1.74084e-20	1.34531e-20	0.000348168	3.79753
Level 2 charger	300-400%	Multi-Family with 5+ Units	Owner	1960-79	0	1	0	0.000174084	1.83062	0.000348168	3.79753
Level 2 charger	300-400%	Multi-Family with 5+ Units	Owner	1980-99	0	1	0	1.74084e-20	1.34531e-20	0.000348168	3.79753
Level 2 charger	300-400%	Multi-Family with 5+ Units	Owner	2000-09	0	1	0	1.74084e-20	1.34531e-20	0.000348168	3.79753
Level 2 charger	300-400%	Multi-Family with 5+ Units	Owner	2010s	0	1	0	1.74084e-20	1.34531e-20	0.000348168	3.79753
Level 2 charger	300-400%	Multi-Family with 5+ Units	Owner	<1940	0	1	0	1.74084e-20	1.34531e-20	0.000348168	3.79753
Level 2 charger	300-400%	Multi-Family with 5+ Units	Renter	1940-59	0	1	0	5.59472e-19	4.2289e-19	0.0111894	119.373
Level 2 charger	300-400%	Multi-Family with 5+ Units	Renter	1960-79	0	1	0	0.00559472	57.5445	0.0111894	119.373
Level 2 charger	300-400%	Multi-Family with 5+ Units	Renter	1980-99	0	1	0	5.59472e-19	4.2289e-19	0.0111894	119.373
Level 2 charger	300-400%	Multi-Family with 5+ Units	Renter	2000-09	0	1	0	5.59472e-19	4.2289e-19	0.0111894	119.373
Level 2 charger	300-400%	Multi-Family with 5+ Units	Renter	2010s	0	1	0	5.59472e-19	4.2289e-19	0.0111894	119.373
Level 2 charger	300-400%	Multi-Family with 5+ Units	Renter	<1940	0	1	0	5.59472e-19	4.2289e-19	0.0111894	119.373
Level 2 charger	300-400%	Single-Family Attached	Not Available	1940-59	0	0	1	1.30246e-18	8.59801e-19	1.47178	5985.72
Level 2 charger	300-400%	Single-Family Attached	Not Available	1960-79	0	0	1	0.0520986	141.56	1.47178	5985.72
Level 2 charger	300-400%	Single-Family Attached	Not Available	1980-99	0	0	1	1.30246e-18	8.59801e-19	1.47178	5985.72
Level 2 charger	300-400%	Single-Family Attached	Not Available	2000-09	0	0	1	0.0130246	36.3026	1.47178	5985.72
Level 2 charger	300-400%	Single-Family Attached	Not Available	2010s	0	0	1	0.0130246	43.2122	1.47178	5985.72
Level 2 charger	300-400%	Single-Family Attached	Not Available	<1940	0	0	1	1.30246e-18	8.59801e-19	1.47178	5985.72
Level 2 charger	300-400%	Single-Family Attached	Owner	1940-59	0	1	0	5.22307e-19	3.38497e-19	0.590206	2356.53
Level 2 charger	300-400%	Single-Family Attached	Owner	1960-79	0	1	0	0.0208923	55.7312	0.590206	2356.53
Level 2 charger	300-400%	Single-Family Attached	Owner	1980-99	0	1	0	5.22307e-19	3.38497e-19	0.590206	2356.53
Level 2 charger	300-400%	Single-Family Attached	Owner	2000-09	0	1	0	0.00522307	14.2921	0.590206	2356.53
Level 2 charger	300-400%	Single-Family Attached	Owner	2010s	0	1	0	0.00522307	17.0123	0.590206	2356.53
Level 2 charger	300-400%	Single-Family Attached	Owner	<1940	0	1	0	5.22307e-19	3.38497e-19	0.590206	2356.53
Level 2 charger	300-400%	Single-Family Attached	Renter	1940-59	0	1	0	1.75112e-19	1.19336e-19	0.197877	830.784
Level 2 charger	300-400%	Single-Family Attached	Renter	1960-79	0	1	0	0.00700449	19.6478	0.197877	830.784
Level 2 charger	300-400%	Single-Family Attached	Renter	1980-99	0	1	0	1.75112e-19	1.19336e-19	0.197877	830.784
Level 2 charger	300-400%	Single-Family Attached	Renter	2000-09	0	1	0	0.00175112	5.0386	0.197877	830.784
Level 2 charger	300-400%	Single-Family Attached	Renter	2010s	0	1	0	0.00175112	5.99762	0.197877	830.784
Level 2 charger	300-400%	Single-Family Attached	Renter	<1940	0	1	0	1.75112e-19	1.19336e-19	0.197877	830.784
Level 2 charger	300-400%	Single-Family Detached	Not Available	1940-59	0	0	1	0.284022	874.885	0.284022	874.885
Level 2 charger	300-400%	Single-Family Detached	Not Available	1960-79	0	0	1	0.256972	1017.4	0.256972	1017.4
Level 2 charger	300-400%	Single-Family Detached	Not Available	1980-99	0	0	1	0.338121	1178.66	0.338121	1178.66
Level 2 charger	300-400%	Single-Family Detached	Not Available	2000-09	0	0	1	0.284022	1091.72	0.284022	1091.72
Level 2 charger	300-400%	Single-Family Detached	Not Available	2010s	0	0	1	0.270497	923.908	0.270497	923.908
Level 2 charger	300-400%	Single-Family Detached	Not Available	<1940	0	0	1	0.135248	404.474	0.135248	404.474
Level 2 charger	300-400%	Single-Family Detached	Owner	1940-59	0	1	0	0.240262	733.978	0.240262	733.978
Level 2 charger	300-400%	Single-Family Detached	Owner	1960-79	0	1	0	0.21738	853.536	0.21738	853.536
Level 2 charger	300-400%	Single-Family Detached	Owner	1980-99	0	1	0	0.286026	988.829	0.286026	988.829
Level 2 charger	300-400%	Single-Family Detached	Owner	2000-09	0	1	0	0.240262	915.888	0.240262	915.888
Level 2 charger	300-400%	Single-Family Detached	Owner	2010s	0	1	0	0.228821	775.105	0.228821	775.105
Level 2 charger	300-400%	Single-Family Detached	Owner	<1940	0	1	0	0.11441	339.33	0.11441	339.33
Level 2 charger	300-400%	Single-Family Detached	Renter	1940-59	0	1	0	0.00182493	6.18235	0.00182493	6.18235
Level 2 charger	300-400%	Single-Family Detached	Renter	1960-79	0	1	0	0.00165113	7.1894	0.00165113	7.1894
Level 2 charger	300-400%	Single-Family Detached	Renter	1980-99	0	1	0	0.00217254	8.32899	0.00217254	8.32899
Level 2 charger	300-400%	Single-Family Detached	Renter	2000-09	0	1	0	0.00182493	7.7146	0.00182493	7.7146
Level 2 charger	300-400%	Single-Family Detached	Renter	2010s	0	1	0	0.00173803	6.52877	0.00173803	6.52877
Level 2 charger	300-400%	Single-Family Detached	Renter	<1940	0	1	0	0.000869015	2.85821	0.000869015	2.85821
Level 2 charger	400%+	Mobile Home	Not Available	1940-59	0	0	1	7.38819e-19	5.15128e-19	0.834865	3586.19
Level 2 charger	400%+	Mobile Home	Not Available	1960-79	0	0	1	7.38819e-19	5.15128e-19	0.834865	3586.19
Level 2 charger	400%+	Mobile Home	Not Available	1980-99	0	0	1	7.38819e-19	5.15128e-19	0.834865	3586.19
Level 2 charger	400%+	Mobile Home	Not Available	2000-09	0	0	1	0.00738819	51.2558	0.834865	3586.19
Level 2 charger	400%+	Mobile Home	Not Available	2010s	0	0	1	7.38819e-19	5.15128e-19	0.834865	3586.19
Level 2 charger	400%+	Mobile Home	Not Available	<1940	0	0	1	7.38819e-19	5.15128e-19	0.834865	3586.19
Level 2 charger	400%+	Mobile Home	Owner	1940-59	0	1	0	6.1009e-19	4.27298e-19	0.689401	2974.74
Level 2 charger	400%+	Mobile Home	Owner	1960-79	0	1	0	6.1009e-19	4.27298e-19	0.689401	2974.74
Level 2 charger	400%+	Mobile Home	Owner	1980-99	0	1	0	6.1009e-19	4.27298e-19	0.689401	2974.74
Level 2 charger	400%+	Mobile Home	Owner	2000-09	0	1	0	0.0061009	42.5167	0.689401	2974.74
Level 2 charger	400%+	Mobile Home	Owner	2010s	0	1	0	6.1009e-19	4.27298e-19	0.689401	2974.74
Level 2 charger	400%+	Mobile Home	Owner	<1940	0	1	0	6.1009e-19	4.27298e-19	0.689401	2974.74
Level 2 charger	400%+	Mobile Home	Renter	1940-59	0	1	0	6.15306e-21	4.10155e-21	0.00695296	28.554
Level 2 charger	400%+	Mobile Home	Renter	1960-79	0	1	0	6.15306e-21	4.10155e-21	0.00695296	28.554
Level 2 charger	400%+	Mobile Home	Renter	1980-99	0	1	0	6.15306e-21	4.10155e-21	0.00695296	28.554
Level 2 charger	400%+	Mobile Home	Renter	2000-09	0	1	0	6.15306e-05	0.408109	0.00695296	28.554
Level 2 charger	400%+	Mobile Home	Renter	2010s	0	1	0	6.15306e-21	4.10155e-21	0.00695296	28.554
Level 2 charger	400%+	Mobile Home	Renter	<1940	0	1	0	6.15306e-21	4.10155e-21	0.00695296	28.554
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	1	0.024921	83.7004	0.049842	579.216
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	1	2.4921e-18	2.05193e-18	0.049842	579.216
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	1	2.4921e-18	2.05193e-18	0.049842	579.216
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	1	2.4921e-18	2.05193e-18	0.049842	579.216
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	1	2.4921e-18	2.05193e-18	0.049842	579.216
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	1	0.024921	216.301	0.049842	579.216
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Owner	1940-59	0	1	0	0.00110366	3.81606	0.00220731	26.4076
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Owner	1960-79	0	1	0	1.10366e-19	9.35513e-20	0.00220731	26.4076
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Owner	1980-99	0	1	0	1.10366e-19	9.35513e-20	0.00220731	26.4076
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Owner	2000-09	0	1	0	1.10366e-19	9.35513e-20	0.00220731	26.4076
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Owner	2010s	0	1	0	1.10366e-19	9.35513e-20	0.00220731	26.4076
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Owner	<1940	0	1	0	0.00110366	9.86158	0.00220731	26.4076
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Renter	1940-59	0	1	0	0.0155347	51.7726	0.0310693	358.272
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Renter	1960-79	0	1	0	1.55347e-18	1.26921e-18	0.0310693	358.272
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Renter	1980-99	0	1	0	1.55347e-18	1.26921e-18	0.0310693	358.272
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Renter	2000-09	0	1	0	1.55347e-18	1.26921e-18	0.0310693	358.272
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Renter	2010s	0	1	0	1.55347e-18	1.26921e-18	0.0310693	358.272
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	Renter	<1940	0	1	0	0.0155347	133.792	0.0310693	358.272
Level 2 charger	400%+	Multi-Family with 5+ Units	Not Available	1940-59	0	0	1	6.70087e-18	5.76822e-18	0.134017	1628.25
Level 2 charger	400%+	Multi-Family with 5+ Units	Not Available	1960-79	0	0	1	0.0670087	784.907	0.134017	1628.25
Level 2 charger	400%+	Multi-Family with 5+ Units	Not Available	1980-99	0	0	1	6.70087e-18	5.76822e-18	0.134017	1628.25
Level 2 charger	400%+	Multi-Family with 5+ Units	Not Available	2000-09	0	0	1	6.70087e-18	5.76822e-18	0.134017	1628.25
Level 2 charger	400%+	Multi-Family with 5+ Units	Not Available	2010s	0	0	1	6.70087e-18	5.76822e-18	0.134017	1628.25
Level 2 charger	400%+	Multi-Family with 5+ Units	Not Available	<1940	0	0	1	6.70087e-18	5.76822e-18	0.134017	1628.25
Level 2 charger	400%+	Multi-Family with 5+ Units	Owner	1940-59	0	1	0	3.37924e-19	3.22562e-19	0.00675848	91.0525
Level 2 charger	400%+	Multi-Family with 5+ Units	Owner	1960-79	0	1	0	0.00337924	43.8924	0.00675848	91.0525
Level 2 charger	400%+	Multi-Family with 5+ Units	Owner	1980-99	0	1	0	3.37924e-19	3.22562e-19	0.00675848	91.0525
Level 2 charger	400%+	Multi-Family with 5+ Units	Owner	2000-09	0	1	0	3.37924e-19	3.22562e-19	0.00675848	91.0525
