Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=Finished Attic or Cathedral Ceilings	Option=None	Option=Unvented Attic	Option=Vented Attic	source_count	source_weight	fallback_count	fallback_weight
Mountain South	Multi-Family with 5+ Units	1	2010s	0	1	0	0	6	9850.15	29	52970.7
Mountain South	Multi-Family with 5+ Units	2	2010s	0	1	0	0	6	9850.15	29	52970.7
Mountain South	Multi-Family with 5+ Units	3	2010s	0	1	0	0	6	9850.15	29	52970.7
Mountain South	Multi-Family with 5+ Units	4+	2010s	0	1	0	0	6	9850.15	29	52970.7
Mountain South	Single-Family Attached	1	2010s	0	0.574361	0	0.425639	6	13694.6	15	34663.1
Mountain South	Single-Family Attached	2	2010s	0.0426736	0.548998	0.0426736	0.365655	2	4488.46	12	31879.4
Mountain South	Single-Family Attached	3	2010s	0.0482181	0.760632	0.0482181	0.142932	1	2698.2	20	72814.8
Mountain South	Single-Family Attached	4+	2010s	0	1	0	0	0	0	14	74106.6
Mountain South	Single-Family Detached	1	2010s	0	0.467945	0.110545	0.42151	53	214898	53	214898
Mountain South	Single-Family Detached	2	2010s	0	0.397773	0	0.602227	27	110165	27	110165
Mountain South	Single-Family Detached	3	2010s	0.0214897	0.389962	0.0214897	0.567059	2	7872.06	23	109353
Mountain South	Single-Family Detached	4+	2010s	0	1	0	0	0	0	13	68714
Mountain South	Mobile Home	1	<1940	0	1	0	0	0	0	258	367943
Mountain South	Mobile Home	2	<1940	0	1	0	0	0	0	258	367943
Mountain South	Mobile Home	3	<1940	0	1	0	0	0	0	258	367943
Mountain South	Mobile Home	4+	<1940	0	1	0	0	0	0	258	367943
Mountain South	Multi-Family with 2 - 4 Units	1	<1940	0	1	0	0	0	0	39	94696.6
Mountain South	Multi-Family with 2 - 4 Units	2	<1940	0	1	0	0	0	0	39	94696.6
Mountain South	Multi-Family with 2 - 4 Units	3	<1940	0	1	0	0	0	0	39	94696.6
Mountain South	Multi-Family with 2 - 4 Units	4+	<1940	0	1	0	0	0	0	39	94696.6
Mountain South	Multi-Family with 5+ Units	1	<1940	0	1	0	0	2	3227.02	72	216708
Mountain South	Multi-Family with 5+ Units	2	<1940	0	1	0	0	2	3227.02	72	216708
Mountain South	Multi-Family with 5+ Units	3	<1940	0	1	0	0	2	3227.02	72	216708
Mountain South	Multi-Family with 5+ Units	4+	<1940	0	1	0	0	2	3227.02	72	216708
Mountain South	Single-Family Attached	1	<1940	0	0.6269	0.0284607	0.34464	3	5713.44	28	147570
Mountain South	Single-Family Attached	2	<1940	0	0.881664	0	0.118336	0	0	12	66449.4
Mountain South	Single-Family Attached	3	<1940	0.0273293	0.787784	0.0273293	0.157558	0	0	32	128470
Mountain South	Single-Family Attached	4+	<1940	0	1	0	0	0	0	14	74106.6
Mountain South	Single-Family Detached	1	<1940	0	0.618611	0.0200401	0.361348	23	89474.9	23	89474.9
Mountain South	Single-Family Detached	2	<1940	0.0548861	0.459214	0.0245239	0.461376	1	3312.45	155	940193
Mountain South	Single-Family Detached	3	<1940	0.0210452	0.599602	0.0189829	0.36037	0	0	83	413491
Mountain South	Single-Family Detached	4+	<1940	0	1	0	0	0	0	13	68714
New England	Mobile Home	1	1940-59	0	1	0	0	3	1409.14	101	124339
New England	Mobile Home	2	1940-59	0	1	0	0	3	1409.14	101	124339
New England	Mobile Home	3	1940-59	0	1	0	0	3	1409.14	101	124339
New England	Mobile Home	4+	1940-59	0	1	0	0	3	1409.14	101	124339
New England	Multi-Family with 2 - 4 Units	1	1940-59	0	1	0	0	94	49765.5	94	49765.5
New England	Multi-Family with 2 - 4 Units	2	1940-59	0	1	0	0	94	49765.5	94	49765.5
New England	Multi-Family with 2 - 4 Units	3	1940-59	0	1	0	0	94	49765.5	94	49765.5
New England	Multi-Family with 2 - 4 Units	4+	1940-59	0	1	0	0	94	49765.5	94	49765.5
New England	Multi-Family with 5+ Units	1	1940-59	0	1	0	0	62	34914.9	62	34914.9
New England	Multi-Family with 5+ Units	2	1940-59	0	1	0	0	62	34914.9	62	34914.9
New England	Multi-Family with 5+ Units	3	1940-59	0	1	0	0	62	34914.9	62	34914.9
New England	Multi-Family with 5+ Units	4+	1940-59	0	1	0	0	62	34914.9	62	34914.9
New England	Single-Family Attached	1	1940-59	0	0.588969	0	0.411031	6	9548.81	11	57705.6
New England	Single-Family Attached	2	1940-59	0.13542	0.412506	0.102168	0.349906	24	21623.1	24	21623.1
New England	Single-Family Attached	3	1940-59	0.107552	0.673638	0	0.21881	6	3348.22	16	99750.9
New England	Single-Family Attached	4+	1940-59	0	1	0	0	1	3340.68	12	71677.9
New England	Single-Family Detached	1	1940-59	0	0.31809	0.057876	0.624033	96	272622	96	272622
New England	Single-Family Detached	2	1940-59	0.0546411	0.455413	0.0319126	0.458033	291	488792	291	488792
New England	Single-Family Detached	3	1940-59	0.0493972	0.697321	0.0709669	0.182315	19	26502.4	19	26502.4
New England	Single-Family Detached	4+	1940-59	0	1	0	0	4	4776.11	10	58505.5
New England	Mobile Home	1	1960-79	0	1	0	0	18	12831	18	12831
New England	Mobile Home	2	1960-79	0	1	0	0	18	12831	18	12831
New England	Mobile Home	3	1960-79	0	1	0	0	18	12831	18	12831
New England	Mobile Home	4+	1960-79	0	1	0	0	18	12831	18	12831
New England	Multi-Family with 2 - 4 Units	1	1960-79	0	1	0	0	43	65405	43	65405
New England	Multi-Family with 2 - 4 Units	2	1960-79	0	1	0	0	43	65405	43	65405
New England	Multi-Family with 2 - 4 Units	3	1960-79	0	1	0	0	43	65405	43	65405
New England	Multi-Family with 2 - 4 Units	4+	1960-79	0	1	0	0	43	65405	43	65405
New England	Multi-Family with 5+ Units	1	1960-79	0	1	0	0	60	78501.3	60	78501.3
New England	Multi-Family with 5+ Units	2	1960-79	0	1	0	0	60	78501.3	60	78501.3
New England	Multi-Family with 5+ Units	3	1960-79	0	1	0	0	60	78501.3	60	78501.3
New England	Multi-Family with 5+ Units	4+	1960-79	0	1	0	0	60	78501.3	60	78501.3
New England	Single-Family Attached	1	1960-79	0	0.619304	0.0371923	0.343504	3	5785.29	15	78598.9
New England	Single-Family Attached	2	1960-79	0.0396291	0.402391	0.0396291	0.51835	16	29525.5	16	29525.5
New England	Single-Family Attached	3	1960-79	0.0616637	0.641638	0.00163028	0.295068	0	0	64	342360
New England	Single-Family Attached	4+	1960-79	0	1	0	0	0	0	12	71677.9
New England	Single-Family Detached	1	1960-79	0	0.296853	0.012522	0.690625	118	327134	118	327134
New England	Single-Family Detached	2	1960-79	0.0249569	0.219138	0.0225888	0.733316	131	346114	131	346114
New England	Single-Family Detached	3	1960-79	0.10758	0.347181	0.0607739	0.484465	13	37931.3	13	37931.3
New England	Single-Family Detached	4+	1960-79	0	1	0	0	1	3158.45	10	58505.5
New England	Mobile Home	1	1980-99	0	1	0	0	22	13718.1	22	13718.1
New England	Mobile Home	2	1980-99	0	1	0	0	22	13718.1	22	13718.1
New England	Mobile Home	3	1980-99	0	1	0	0	22	13718.1	22	13718.1
New England	Mobile Home	4+	1980-99	0	1	0	0	22	13718.1	22	13718.1
New England	Multi-Family with 2 - 4 Units	1	1980-99	0	1	0	0	17	26013	17	26013
New England	Multi-Family with 2 - 4 Units	2	1980-99	0	1	0	0	17	26013	17	26013
New England	Multi-Family with 2 - 4 Units	3	1980-99	0	1	0	0	17	26013	17	26013
New England	Multi-Family with 2 - 4 Units	4+	1980-99	0	1	0	0	17	26013	17	26013
New England	Multi-Family with 5+ Units	1	1980-99	0	1	0	0	53	65068.6	53	65068.6
New England	Multi-Family with 5+ Units	2	1980-99	0	1	0	0	53	65068.6	53	65068.6
New England	Multi-Family with 5+ Units	3	1980-99	0	1	0	0	53	65068.6	53	65068.6
New England	Multi-Family with 5+ Units	4+	1980-99	0	1	0	0	53	65068.6	53	65068.6
New England	Single-Family Attached	1	1980-99	0	0.541595	0.0690299	0.389375	12	23764.1	12	23764.1
New England	Single-Family Attached	2	1980-99	0.0232362	0.321457	0	0.655307	35	70223.4	35	70223.4
New England	Single-Family Attached	3	1980-99	0.0772473	0.496947	0.00628584	0.41952	9	19708.4	20	88793.7
New England	Single-Family Attached	4+	1980-99	0	1	0	0	0	0	12	71677.9
New England	Single-Family Detached	1	1980-99	0	0.4228	0.0162942	0.560906	53	149590	53	149590
New England	Single-Family Detached	2	1980-99	0.0469249	0.266482	0.0372705	0.649322	194	546509	194	546509
New England	Single-Family Detached	3	1980-99	0.335749	0.409032	0	0.25522	10	29624.8	10	29624.8
New England	Single-Family Detached	4+	1980-99	0	1	0	0	0	0	10	58505.5
New England	Mobile Home	1	2000-09	0	1	0	0	10	6006.79	10	6006.79
New England	Mobile Home	2	2000-09	0	1	0	0	10	6006.79	10	6006.79
New England	Mobile Home	3	2000-09	0	1	0	0	10	6006.79	10	6006.79
New England	Mobile Home	4+	2000-09	0	1	0	0	10	6006.79	10	6006.79
New England	Multi-Family with 2 - 4 Units	1	2000-09	0	1	0	0	5	6534.44	10	13427.3
New England	Multi-Family with 2 - 4 Units	2	2000-09	0	1	0	0	5	6534.44	10	13427.3
New England	Multi-Family with 2 - 4 Units	3	2000-09	0	1	0	0	5	6534.44	10	13427.3
New England	Multi-Family with 2 - 4 Units	4+	2000-09	0	1	0	0	5	6534.44	10	13427.3
New England	Multi-Family with 5+ Units	1	2000-09	0	1	0	0	17	21564.9	17	21564.9
New England	Multi-Family with 5+ Units	2	2000-09	0	1	0	0	17	21564.9	17	21564.9
New England	Multi-Family with 5+ Units	3	2000-09	0	1	0	0	17	21564.9	17	21564.9
New England	Multi-Family with 5+ Units	4+	2000-09	0	1	0	0	17	21564.9	17	21564.9
New England	Single-Family Attached	1	2000-09	0	0.465452	0.131006	0.403543	3	4892.87	15	66000.6
New England	Single-Family Attached	2	2000-09	0.0799283	0.526113	0	0.393959	15	24420.7	15	24420.7
New England	Single-Family Attached	3	2000-09	0.0358599	0.537309	0	0.426831	5	13921.1	21	98264
New England	Single-Family Attached	4+	2000-09	0	1	0	0	0	0	12	71677.9
New England	Single-Family Detached	1	2000-09	0	0.476965	0.0631947	0.45984	22	54559.4	22	54559.4
New England	Single-Family Detached	2	2000-09	0.0282348	0.138073	0.00288587	0.830807	72	202636	72	202636
New England	Single-Family Detached	3	2000-09	0.194951	0.372661	0.0463119	0.386075	5	11820	89	438387
New England	Single-Family Detached	4+	2000-09	0	1	0	0	0	0	10	58505.5
New England	Mobile Home	1	2010s	0	1	0	0	2	1059.8	12	7066.59
New England	Mobile Home	2	2010s	0	1	0	0	2	1059.8	12	7066.59
New England	Mobile Home	3	2010s	0	1	0	0	2	1059.8	12	7066.59
New England	Mobile Home	4+	2010s	0	1	0	0	2	1059.8	12	7066.59
New England	Multi-Family with 2 - 4 Units	1	2010s	0	1	0	0	5	6892.87	10	13427.3
New England	Multi-Family with 2 - 4 Units	2	2010s	0	1	0	0	5	6892.87	10	13427.3
New England	Multi-Family with 2 - 4 Units	3	2010s	0	1	0	0	5	6892.87	10	13427.3
New England	Multi-Family with 2 - 4 Units	4+	2010s	0	1	0	0	5	6892.87	10	13427.3
New England	Multi-Family with 5+ Units	1	2010s	0	1	0	0	25	23762	25	23762
New England	Multi-Family with 5+ Units	2	2010s	0	1	0	0	25	23762	25	23762
New England	Multi-Family with 5+ Units	3	2010s	0	1	0	0	25	23762	25	23762
New England	Multi-Family with 5+ Units	4+	2010s	0	1	0	0	25	23762	25	23762
New England	Single-Family Attached	1	2010s	0	0.465452	0.131006	0.403543	0	0	15	66000.6
New England	Single-Family Attached	2	2010s	0.201968	0.15629	0	0.641742	10	15959.9	10	15959.9
New England	Single-Family Attached	3	2010s	0.0358599	0.537309	0	0.426831	3	6841.46	21	98264
New England	Single-Family Attached	4+	2010s	0	1	0	0	0	0	12	71677.9
New England	Single-Family Detached	1	2010s	0	0.565456	0.0631406	0.371403	23	45608.7	23	45608.7
New England	Single-Family Detached	2	2010s	0.0376851	0.269208	0.0246343	0.668473	43	87874.8	43	87874.8
New England	Single-Family Detached	3	2010s	0.194951	0.372661	0.0463119	0.386075	1	1190.24	89	438387
New England	Single-Family Detached	4+	2010s	0	1	0	0	0	0	10	58505.5
New England	Mobile Home	1	<1940	0	1	0	0	0	0	101	124339
New England	Mobile Home	2	<1940	0	1	0	0	0	0	101	124339
New England	Mobile Home	3	<1940	0	1	0	0	0	0	101	124339
New England	Mobile Home	4+	<1940	0	1	0	0	0	0	101	124339
New England	Multi-Family with 2 - 4 Units	1	<1940	0	1	0	0	86	94110.4	86	94110.4
New England	Multi-Family with 2 - 4 Units	2	<1940	0	1	0	0	86	94110.4	86	94110.4
New England	Multi-Family with 2 - 4 Units	3	<1940	0	1	0	0	86	94110.4	86	94110.4
New England	Multi-Family with 2 - 4 Units	4+	<1940	0	1	0	0	86	94110.4	86	94110.4
New England	Multi-Family with 5+ Units	1	<1940	0	1	0	0	51	52108.3	51	52108.3
New England	Multi-Family with 5+ Units	2	<1940	0	1	0	0	51	52108.3	51	52108.3
New England	Multi-Family with 5+ Units	3	<1940	0	1	0	0	51	52108.3	51	52108.3
New England	Multi-Family with 5+ Units	4+	<1940	0	1	0	0	51	52108.3	51	52108.3
New England	Single-Family Attached	1	<1940	0	0.588969	0	0.411031	3	5749.43	11	57705.6
New England	Single-Family Attached	2	<1940	0.161805	0.3724	0.104979	0.360816	20	32697.4	20	32697.4
New England	Single-Family Attached	3	<1940	0.107552	0.673638	0	0.21881	6	8652.56	16	99750.9
New England	Single-Family Attached	4+	<1940	0	1	0	0	0	0	12	71677.9
New England	Single-Family Detached	1	<1940	0	0.0691416	0.125073	0.805785	35	85051.1	35	85051.1
New England	Single-Family Detached	2	<1940	0.0917834	0.335525	0.0403495	0.532343	223	558184	223	558184
New England	Single-Family Detached	3	<1940	0.0743903	0.544176	0.106873	0.27456	17	45478.1	17	45478.1
New England	Single-Family Detached	4+	<1940	0	1	0	0	4	12342.6	10	58505.5
Pacific	Mobile Home	1	1940-59	0	1	0	0	3	3398.66	258	367943
Pacific	Mobile Home	2	1940-59	0	1	0	0	3	3398.66	258	367943
Pacific	Mobile Home	3	1940-59	0	1	0	0	3	3398.66	258	367943
Pacific	Mobile Home	4+	1940-59	0	1	0	0	3	3398.66	258	367943
Pacific	Multi-Family with 2 - 4 Units	1	1940-59	0	1	0	0	30	46247	30	46247
Pacific	Multi-Family with 2 - 4 Units	2	1940-59	0	1	0	0	30	46247	30	46247
Pacific	Multi-Family with 2 - 4 Units	3	1940-59	0	1	0	0	30	46247	30	46247
Pacific	Multi-Family with 2 - 4 Units	4+	1940-59	0	1	0	0	30	46247	30	46247
Pacific	Multi-Family with 5+ Units	1	1940-59	0	1	0	0	60	99009.9	60	99009.9
Pacific	Multi-Family with 5+ Units	2	1940-59	0	1	0	0	60	99009.9	60	99009.9
Pacific	Multi-Family with 5+ Units	3	1940-59	0	1	0	0	60	99009.9	60	99009.9
Pacific	Multi-Family with 5+ Units	4+	1940-59	0	1	0	0	60	99009.9	60	99009.9
Pacific	Single-Family Attached	1	1940-59	0	0.532547	0.0182873	0.449166	16	63442.8	16	63442.8
Pacific	Single-Family Attached	2	1940-59	0	0.881664	0	0.118336	9	24125	12	66449.4
Pacific	Single-Family Attached	3	1940-59	0.0273293	0.787784	0.0273293	0.157558	0	0	32	128470
Pacific	Single-Family Attached	4+	1940-59	0	1	0	0	0	0	14	74106.6
Pacific	Single-Family Detached	1	1940-59	0	0.421975	0.0439078	0.534117	297	1.77914e+06	297	1.77914e+06
Pacific	Single-Family Detached	2	1940-59	0.0404035	0.499225	0.0226204	0.437751	101	390332	101	390332
Pacific	Single-Family Detached	3	1940-59	0.0210452	0.599602	0.0189829	0.36037	4	20405.4	83	413491
Pacific	Single-Family Detached	4+	1940-59	0	1	0	0	1	3012.15	13	68714
Pacific	Mobile Home	1	1960-79	0	1	0	0	51	108235	51	108235
Pacific	Mobile Home	2	1960-79	0	1	0	0	51	108235	51	108235
Pacific	Mobile Home	3	1960-79	0	1	0	0	51	108235	51	108235
Pacific	Mobile Home	4+	1960-79	0	1	0	0	51	108235	51	108235
Pacific	Multi-Family with 2 - 4 Units	1	1960-79	0	1	0	0	43	118454	43	118454
Pacific	Multi-Family with 2 - 4 Units	2	1960-79	0	1	0	0	43	118454	43	118454
Pacific	Multi-Family with 2 - 4 Units	3	1960-79	0	1	0	0	43	118454	43	118454
Pacific	Multi-Family with 2 - 4 Units	4+	1960-79	0	1	0	0	43	118454	43	118454
Pacific	Multi-Family with 5+ Units	1	1960-79	0	1	0	0	140	323303	140	323303
Pacific	Multi-Family with 5+ Units	2	1960-79	0	1	0	0	140	323303	140	323303
Pacific	Multi-Family with 5+ Units	3	1960-79	0	1	0	0	140	323303	140	323303
Pacific	Multi-Family with 5+ Units	4+	1960-79	0	1	0	0	140	323303	140	323303
Pacific	Single-Family Attached	1	1960-79	0	0.674491	0.0325782	0.292931	43	240433	43	240433
Pacific	Single-Family Attached	2	1960-79	0.0276504	0.563804	0.0689969	0.339549	39	163320	39	163320
Pacific	Single-Family Attached	3	1960-79	0.0273293	0.787784	0.0273293	0.157558	5	14376.6	32	128470
Pacific	Single-Family Attached	4+	1960-79	0	1	0	0	0	0	14	74106.6
Pacific	Single-Family Detached	1	1960-79	0	0.488833	0.0311775	0.47999	279	2.05884e+06	279	2.05884e+06
Pacific	Single-Family Detached	2	1960-79	0.053294	0.47831	0.0283576	0.440038	137	745832	137	745832
Pacific	Single-Family Detached	3	1960-79	0	0.57851	0	0.42149	9	60324.5	15	86313.7
Pacific	Single-Family Detached	4+	1960-79	0	1	0	0	1	5749.78	13	68714
Pacific	Mobile Home	1	1980-99	0	1	0	0	34	66894.6	34	66894.6
Pacific	Mobile Home	2	1980-99	0	1	0	0	34	66894.6	34	66894.6
Pacific	Mobile Home	3	1980-99	0	1	0	0	34	66894.6	34	66894.6
Pacific	Mobile Home	4+	1980-99	0	1	0	0	34	66894.6	34	66894.6
Pacific	Multi-Family with 2 - 4 Units	1	1980-99	0	1	0	0	46	115080	46	115080
Pacific	Multi-Family with 2 - 4 Units	2	1980-99	0	1	0	0	46	115080	46	115080
Pacific	Multi-Family with 2 - 4 Units	3	1980-99	0	1	0	0	46	115080	46	115080
Pacific	Multi-Family with 2 - 4 Units	4+	1980-99	0	1	0	0	46	115080	46	115080
Pacific	Multi-Family with 5+ Units	1	1980-99	0	1	0	0	101	278554	101	278554
Pacific	Multi-Family with 5+ Units	2	1980-99	0	1	0	0	101	278554	101	278554
Pacific	Multi-Family with 5+ Units	3	1980-99	0	1	0	0	101	278554	101	278554
Pacific	Multi-Family with 5+ Units	4+	1980-99	0	1	0	0	101	278554	101	278554
Pacific	Single-Family Attached	1	1980-99	0	0.594966	0.0331462	0.371888	29	149101	29	149101
Pacific	Single-Family Attached	2	1980-99	0.0490485	0.608495	0.049874	0.292583	55	238302	55	238302
Pacific	Single-Family Attached	3	1980-99	0.0273293	0.787784	0.0273293	0.157558	5	34151.2	32	128470
Pacific	Single-Family Attached	4+	1980-99	0	1	0	0	1	5392.64	14	74106.6
Pacific	Single-Family Detached	1	1980-99	0	0.425679	0.0489122	0.525409	181	1.25953e+06	181	1.25953e+06
Pacific	Single-Family Detached	2	1980-99	0.0401716	0.400843	0.0436538	0.515332	209	1.26144e+06	209	1.26144e+06
Pacific	Single-Family Detached	3	1980-99	0.0557571	0.64599	0.0482718	0.249981	23	113924	23	113924
Pacific	Single-Family Detached	4+	1980-99	0	1	0	0	3	20961.2	13	68714
Pacific	Mobile Home	1	2000-09	0	1	0	0	10	16886.7	10	16886.7
Pacific	Mobile Home	2	2000-09	0	1	0	0	10	16886.7	10	16886.7
Pacific	Mobile Home	3	2000-09	0	1	0	0	10	16886.7	10	16886.7
Pacific	Mobile Home	4+	2000-09	0	1	0	0	10	16886.7	10	16886.7
Pacific	Multi-Family with 2 - 4 Units	1	2000-09	0	1	0	0	6	15208.3	13	27821
Pacific	Multi-Family with 2 - 4 Units	2	2000-09	0	1	0	0	6	15208.3	13	27821
Pacific	Multi-Family with 2 - 4 Units	3	2000-09	0	1	0	0	6	15208.3	13	27821
Pacific	Multi-Family with 2 - 4 Units	4+	2000-09	0	1	0	0	6	15208.3	13	27821
Pacific	Multi-Family with 5+ Units	1	2000-09	0	1	0	0	60	143238	60	143238
Pacific	Multi-Family with 5+ Units	2	2000-09	0	1	0	0	60	143238	60	143238
Pacific	Multi-Family with 5+ Units	3	2000-09	0	1	0	0	60	143238	60	143238
Pacific	Multi-Family with 5+ Units	4+	2000-09	0	1	0	0	60	143238	60	143238
Pacific	Single-Family Attached	1	2000-09	0	0.672706	0.0150889	0.312205	6	31053.9	33	101956
Pacific	Single-Family Attached	2	2000-09	0	0.597889	0	0.402111	21	71246.4	21	71246.4
Pacific	Single-Family Attached	3	2000-09	0.0754395	0.790023	0.0754395	0.0590977	6	18394.6	12	46540.4
Pacific	Single-Family Attached	4+	2000-09	0	1	0	0	0	0	14	74106.6
Pacific	Single-Family Detached	1	2000-09	0	0.44927	0.0312431	0.519487	85	558006	85	558006
Pacific	Single-Family Detached	2	2000-09	0.0182063	0.338715	0.0131747	0.629905	130	705924	130	705924
Pacific	Single-Family Detached	3	2000-09	0	0.286538	0	0.713462	10	49532.4	10	49532.4
Pacific	Single-Family Detached	4+	2000-09	0	1	0	0	1	703.774	13	68714
Pacific	Mobile Home	1	2010s	0	1	0	0	5	5282.84	15	22169.6
Pacific	Mobile Home	2	2010s	0	1	0	0	5	5282.84	15	22169.6
Pacific	Mobile Home	3	2010s	0	1	0	0	5	5282.84	15	22169.6
Pacific	Mobile Home	4+	2010s	0	1	0	0	5	5282.84	15	22169.6
Pacific	Multi-Family with 2 - 4 Units	1	2010s	0	1	0	0	7	12612.7	13	27821
Pacific	Multi-Family with 2 - 4 Units	2	2010s	0	1	0	0	7	12612.7	13	27821
Pacific	Multi-Family with 2 - 4 Units	3	2010s	0	1	0	0	7	12612.7	13	27821
Pacific	Multi-Family with 2 - 4 Units	4+	2010s	0	1	0	0	7	12612.7	13	27821
Pacific	Multi-Family with 5+ Units	1	2010s	0	1	0	0	59	120075	59	120075
Pacific	Multi-Family with 5+ Units	2	2010s	0	1	0	0	59	120075	59	120075
Pacific	Multi-Family with 5+ Units	3	2010s	0	1	0	0	59	120075	59	120075
Pacific	Multi-Family with 5+ Units	4+	2010s	0	1	0	0	59	120075	59	120075
Pacific	Single-Family Attached	1	2010s	0	0.672706	0.0150889	0.312205	2	4146.51	33	101956
Pacific	Single-Family Attached	2	2010s	0.129219	0.437232	0.129219	0.30433	14	31950.2	14	31950.2
Pacific	Single-Family Attached	3	2010s	0.0754395	0.790023	0.0754395	0.0590977	6	28145.8	12	46540.4
Pacific	Single-Family Attached	4+	2010s	0	1	0	0	0	0	14	74106.6
Pacific	Single-Family Detached	1	2010s	0	0.330572	0.116358	0.55307	39	203035	39	203035
Pacific	Single-Family Detached	2	2010s	0.00680542	0.618981	0.0204312	0.353783	71	345717	71	345717
Pacific	Single-Family Detached	3	2010s	0.034823	0.348589	0.034823	0.581765	4	17950.4	14	67482.7
Pacific	Single-Family Detached	4+	2010s	0	1	0	0	0	0	13	68714
Pacific	Mobile Home	1	<1940	0	1	0	0	0	0	258	367943
Pacific	Mobile Home	2	<1940	0	1	0	0	0	0	258	367943
Pacific	Mobile Home	3	<1940	0	1	0	0	0	0	258	367943
Pacific	Mobile Home	4+	<1940	0	1	0	0	0	0	258	367943
Pacific	Multi-Family with 2 - 4 Units	1	<1940	0	1	0	0	17	33391.7	17	33391.7
Pacific	Multi-Family with 2 - 4 Units	2	<1940	0	1	0	0	17	33391.7	17	33391.7
Pacific	Multi-Family with 2 - 4 Units	3	<1940	0	1	0	0	17	33391.7	17	33391.7
Pacific	Multi-Family with 2 - 4 Units	4+	<1940	0	1	0	0	17	33391.7	17	33391.7
Pacific	Multi-Family with 5+ Units	1	<1940	0	1	0	0	37	95042.8	37	95042.8
Pacific	Multi-Family with 5+ Units	2	<1940	0	1	0	0	37	95042.8	37	95042.8
Pacific	Multi-Family with 5+ Units	3	<1940	0	1	0	0	37	95042.8	37	95042.8
Pacific	Multi-Family with 5+ Units	4+	<1940	0	1	0	0	37	95042.8	37	95042.8
Pacific	Single-Family Attached	1	<1940	0	0.561976	0.0417936	0.396231	7	38352.8	16	101796
Pacific	Single-Family Attached	2	<1940	0	0.881664	0	0.118336	6	32426.2	12	66449.4
Pacific	Single-Family Attached	3	<1940	0.0273293	0.787784	0.0273293	0.157558	0	0	32	128470
Pacific	Single-Family Attached	4+	<1940	0	1	0	0	0	0	14	74106.6
Pacific	Single-Family Detached	1	<1940	0	0.450754	0.0612203	0.488026	134	942053	134	942053
Pacific	Single-Family Detached	2	<1940	0.0785029	0.366824	0.0266813	0.527992	67	346149	67	346149
Pacific	Single-Family Detached	3	<1940	0.0210452	0.599602	0.0189829	0.36037	2	17278.1	83	413491
Pacific	Single-Family Detached	4+	<1940	0	1	0	0	1	7784.1	13	68714
South Atlantic	Mobile Home	1	1940-59	0	1	0	0	6	16376.4	14	34841.4
South Atlantic	Mobile Home	2	1940-59	0	1	0	0	6	16376.4	14	34841.4
South Atlantic	Mobile Home	3	1940-59	0	1	0	0	6	16376.4	14	34841.4
South Atlantic	Mobile Home	4+	1940-59	0	1	0	0	6	16376.4	14	34841.4
South Atlantic	Multi-Family with 2 - 4 Units	1	1940-59	0	1	0	0	34	28169.9	34	28169.9
South Atlantic	Multi-Family with 2 - 4 Units	2	1940-59	0	1	0	0	34	28169.9	34	28169.9
South Atlantic	Multi-Family with 2 - 4 Units	3	1940-59	0	1	0	0	34	28169.9	34	28169.9
South Atlantic	Multi-Family with 2 - 4 Units	4+	1940-59	0	1	0	0	34	28169.9	34	28169.9
South Atlantic	Multi-Family with 5+ Units	1	1940-59	0	1	0	0	72	53276.2	72	53276.2
South Atlantic	Multi-Family with 5+ Units	2	1940-59	0	1	0	0	72	53276.2	72	53276.2
South Atlantic	Multi-Family with 5+ Units	3	1940-59	0	1	0	0	72	53276.2	72	53276.2
South Atlantic	Multi-Family with 5+ Units	4+	1940-59	0	1	0	0	72	53276.2	72	53276.2
South Atlantic	Single-Family Attached	1	1940-59	0	0.595458	0.0791264	0.325416	9	26995.1	26	124657
South Atlantic	Single-Family Attached	2	1940-59	0.0533846	0.46459	0.0529776	0.429048	63	88624.5	63	88624.5
South Atlantic	Single-Family Attached	3	1940-59	0.0776959	0.427435	0.0107374	0.484132	13	12201.1	13	12201.1
South Atlantic	Single-Family Attached	4+	1940-59	0	1	0	0	1	327.081	11	42818.1
South Atlantic	Single-Family Detached	1	1940-59	0	0.388595	0.0662098	0.545195	211	1.3323e+06	211	1.3323e+06
South Atlantic	Single-Family Detached	2	1940-59	0.0961065	0.316368	0.105428	0.482097	151	504463	151	504463
South Atlantic	Single-Family Detached	3	1940-59	0.156637	0.283075	0.0942007	0.466088	8	31104.8	14	96936.2
South Atlantic	Single-Family Detached	4+	1940-59	0	1	0	0	1	7902.69	11	42818.1
South Atlantic	Mobile Home	1	1960-79	0	1	0	0	43	101293	43	101293
South Atlantic	Mobile Home	2	1960-79	0	1	0	0	43	101293	43	101293
South Atlantic	Mobile Home	3	1960-79	0	1	0	0	43	101293	43	101293
South Atlantic	Mobile Home	4+	1960-79	0	1	0	0	43	101293	43	101293
South Atlantic	Multi-Family with 2 - 4 Units	1	1960-79	0	1	0	0	48	91964.4	48	91964.4
South Atlantic	Multi-Family with 2 - 4 Units	2	1960-79	0	1	0	0	48	91964.4	48	91964.4
South Atlantic	Multi-Family with 2 - 4 Units	3	1960-79	0	1	0	0	48	91964.4	48	91964.4
South Atlantic	Multi-Family with 2 - 4 Units	4+	1960-79	0	1	0	0	48	91964.4	48	91964.4
